row_label_raw,row_label_full,14. Bất động sản đầu tư,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối năm
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,1.000.020.903.845,87.502.519.527,350.625.267,1.087.172.798.105,1000020903845.0,87502519527.0,350625267.0,1087172798105.0
Nguyên giá,Nguyên giá,Nguyên giá,1.246.465.684.643,155.796.218.561,350.625.267,1.401.911.277.937,1246465684643.0,155796218561.0,350625267.0,1401911277937.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,233.312.477.202,0,212.784.638.998,20.527.838.204,233312477202.0,0.0,212784638998.0,20527838204.0
"- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc",0,0,0,0,0.0,0.0,0.0,0.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,0,0,0,0,0.0,0.0,0.0,0.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.013.153.207.441,155.796.218.561,(212.434.013.731),1.381.383.439.733,1013153207441.0,155796218561.0,-212434013731.0,1381383439733.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,246.444.780.798,68.293.699.034,0,314.738.479.832,246444780798.0,68293699034.0,0.0,314738479832.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,55.569.476.220,950.084.176,52.313.168.681,4.206.391.715,55569476220.0,950084176.0,52313168681.0,4206391715.0
"- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc",0,0,0,0,0.0,0.0,0.0,0.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,0,0,0,0,0.0,0.0,0.0,0.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,190.875.304.578,67.343.614.858,(52.313.168.681),310.532.088.117,190875304578.0,67343614858.0,-52313168681.0,310532088117.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,1.000.020.903.845,87.502.519.527,350.625.267,1.087.172.798.105,1000020903845.0,87502519527.0,350625267.0,1087172798105.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,177.743.000.982,(950.084.176),160.471.470.317,16.321.446.489,177743000982.0,-950084176.0,160471470317.0,16321446489.0
"- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc",0,0,0,0,0.0,0.0,0.0,0.0
- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,- Nhà và quyền sử dụng đất,0,0,0,0,0.0,0.0,0.0,0.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,822.277.902.863,88.452.603.703,(160.120.845.050),1.070.851.351.616,822277902863.0,88452603703.0,-160120845050.0,1070851351616.0
b. Bất động sản đầu tư chờ tăng giá,b. Bất động sản đầu tư chờ tăng giá,b. Bất động sản đầu tư chờ tăng giá,,,,,,,,
Cộng,b. Bất động sản đầu tư chờ tăng giá > Cộng,Cộng,1.000.020.903.845,87.502.519.527,350.625.267,1.087.172.798.105,1000020903845.0,87502519527.0,350625267.0,1087172798105.0
