row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,Phương tiệnvận tải truyền dẫn,Thiết bịdụng cụ quản lý,Tài sản cố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiệnvận tải truyền dẫn,numeric__Thiết bịdụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,9.983.344.606.939,5.237.963.538.367,1.552.645.178.423,173.092.930.119,9.280.014.823.543,26.227.061.077.391,9983344606939.0,5237963538367.0,1552645178423.0,173092930119.0,9280014823543.0,26227061077391.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,5.206.045.598,142.375.980.514,83.174.149.454,4.752.455.545,565.196.546,236.073.827.657,5206045598.0,142375980514.0,83174149454.0,4752455545.0,565196546.0,236073827657.0
- Đầu tư XDCB hoàn thành,Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,572.405.983.385,83.094.060.729,40.125.836.133,3.431.827.722,5.339.584.533.076,6.038.642.241.045,572405983385.0,83094060729.0,40125836133.0,3431827722.0,5339584533076.0,6038642241045.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,2.184.777.889,,529.110.853,,,2.713.888.742,2184777889.0,,529110853.0,,,2713888742.0
- Tăng do chuyển đổi BCTC,Nguyên giá > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,1.393.372.926,219.039.269,199.023.819,11.636.103,5.288.908.990,7.111.981.107,1393372926.0,219039269.0,199023819.0,11636103.0,5288908990.0,7111981107.0
- Tăng do phân loại lại,Nguyên giá > - Tăng do phân loại lại,- Tăng do phân loại lại,,12.650.709.814,3.843.184.786,2.840.809.412,,19.334.704.012,,12650709814.0,3843184786.0,2840809412.0,,19334704012.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(39.269.883.625),(22.370.408.195),(27.805.358.531),(3.274.793.786),(474.006.446.993),(566.726.891.130),-39269883625.0,-22370408195.0,-27805358531.0,-3274793786.0,-474006446993.0,-566726891130.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(9.912.979.059),(30.321.003.082),(1.527.433.676),(58.445.909),(39.631.213.038),(81.451.074.764),-9912979059.0,-30321003082.0,-1527433676.0,-58445909.0,-39631213038.0,-81451074764.0
- Giảm do chuyển đổi BCTC,Nguyên giá > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(6.504.579.372),(685.092.058),(778.454.458),(29.958.097),(24.870.844.765),(32.868.928.750),-6504579372.0,-685092058.0,-778454458.0,-29958097.0,-24870844765.0,-32868928750.0
- Giảm do phân loại lại,Nguyên giá > - Giảm do phân loại lại,- Giảm do phân loại lại,(18.873.205.428),,,,(461.498.584),(19.334.704.012),-18873205428.0,,,,-461498584.0,-19334704012.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,10.489.974.139.253,5.422.926.825.358,1.650.405.236.803,180.766.461.109,14.086.483.458.775,31.830.556.121.298,10489974139253.0,5422926825358.0,1650405236803.0,180766461109.0,14086483458775.0,31830556121298.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.743.734.902.639,2.134.709.958.497,1.038.645.514.961,117.378.504.756,2.665.621.411.605,9.700.090.292.458,3743734902639.0,2134709958497.0,1038645514961.0,117378504756.0,2665621411605.0,9700090292458.0
