row_label_raw,row_label_full,CHỈ TIÊU > Số dư đầu năm trước > - Tăng trong năm trước,Vốn góp của chủ sở hữu > 26.166.499.106.975,Thặng dư vốn cổ phần > 119.703.071.188,Vốn khác của chủ sở hữu > 10.591.025.501 > 3.460.998.590,Cổ phiếu quỹ > (171.718.432.060) > (258.332.600),Chênh lệch đánh giá lại tài sản > 0,Chênh lệch tỷ giá > 833.834.196.666 > 486.974.164.685,Cộng > 26.958.908.968.270 > 490.176.830.675,numeric__Vốn góp của chủ sở hữu > 26.166.499.106.975,numeric__Thặng dư vốn cổ phần > 119.703.071.188,numeric__Vốn khác của chủ sở hữu > 10.591.025.501 > 3.460.998.590,numeric__Cổ phiếu quỹ > (171.718.432.060) > (258.332.600),numeric__Chênh lệch đánh giá lại tài sản > 0,numeric__Chênh lệch tỷ giá > 833.834.196.666 > 486.974.164.685,numeric__Cộng > 26.958.908.968.270 > 490.176.830.675
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,0,,,,,,,0.0
- Giám trong năm trước,- Giám trong năm trước,- Giám trong năm trước,(25.382.067.964),(3.987.790),,,,(23.124.054.046),(48.510.109.800),-25382067964.0,-3987790.0,,,,-23124054046.0,-48510109800.0
- Giám khác,- Giám khác,- Giám khác,,,,,,,0,,,,,,,0.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,26.141.117.039.011,119.699.083.398,14.052.024.091,(171.976.764.660),0,1.297.684.307.305,27.400.575.689.145,26141117039011.0,119699083398.0,14052024091.0,-171976764660.0,0.0,1297684307305.0,27400575689145.0
- Tăng trong năm nay,- Tăng trong năm nay,- Tăng trong năm nay,,,2.212.769.591,53.959.550,,5.964.712.668,8.231.441.809,,,2212769591.0,53959550.0,,5964712668.0,8231441809.0
- Tăng do điều chỉnh cổ phần hóa,- Tăng do điều chỉnh cổ phần hóa,- Tăng do điều chỉnh cổ phần hóa,1.858.406.638.352,,,,621.137.081.814,,2.479.543.720.166,1858406638352.0,,,,621137081814.0,,2479543720166.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,0,,,,,,,0.0
- Giám trong năm nay,- Giám trong năm nay,- Giám trong năm nay,,(432.285),(5.673.768.181),,,(82.342.121.045),(88.016.321.511),,-432285.0,-5673768181.0,,,-82342121045.0,-88016321511.0
- Giám do điều chỉnh cổ phần hóa,- Giám do điều chỉnh cổ phần hóa,- Giám do điều chỉnh cổ phần hóa,(644.746.640.000),,,,,,(644.746.640.000),-644746640000.0,,,,,,-644746640000.0
- Giám khác,- Giám khác,- Giám khác,,,,,,,0,,,,,,,0.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,27.354.777.037.363,119.698.651.113,10.591.025.501,(171.922.805.110),621.137.081.814,1.221.306.898.928,29.155.587.889.609,27354777037363.0,119698651113.0,10591025501.0,-171922805110.0,621137081814.0,1221306898928.0,29155587889609.0
