row_label_raw,row_label_full,06. Phải thu khác,Cuối năm > Giá trị,Cuối năm > Dự phòng,Đầu năm > Giá trị,Đầu năm > Dự phòng,numeric__Cuối năm > Giá trị,numeric__Cuối năm > Dự phòng,numeric__Đầu năm > Giá trị,numeric__Đầu năm > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,964.272.589.419,(34.788.113.046),963.837.080.847,(48.717.070.750),964272589419.0,-34788113046.0,963837080847.0,-48717070750.0
Tạm ứng,Tạm ứng,Tạm ứng,104.730.460.538,0,111.634.450.671,0,104730460538.0,0.0,111634450671.0,0.0
"Cầm cố, ký quỹ, ký cược","Cầm cố, ký quỹ, ký cược","Cầm cố, ký quỹ, ký cược",68.631.093.078,0,20.190.497.801,0,68631093078.0,0.0,20190497801.0,0.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,13.147.332.993,0,4.259.785.189,0,13147332993.0,0.0,4259785189.0,0.0
Phải thu về cổ tức và lợi nhuận dược chia,Phải thu về cổ tức và lợi nhuận dược chia,Phải thu về cổ tức và lợi nhuận dược chia,14.223.309.504,0,14.005.364.670,0,14223309504.0,0.0,14005364670.0,0.0
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,32.541.823.051,0,29.686.367.856,0,32541823051.0,0.0,29686367856.0,0.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,730.998.570.255,(34.788.113.046),784.060.614.660,(48.717.070.750),730998570255.0,-34788113046.0,784060614660.0,-48717070750.0
Phải thu ngắn hạn đối với các bên liên quan,Phải thu ngắn hạn đối với các bên liên quan,Phải thu ngắn hạn đối với các bên liên quan,0,0,0,0,0.0,0.0,0.0,0.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,261.527.166.863,(28.416.000.000),251.459.292.980,(28.416.000.000),261527166863.0,-28416000000.0,251459292980.0,-28416000000.0
"Cầm cố, ký quỹ, ký cược","Cầm cố, ký quỹ, ký cược","Cầm cố, ký quỹ, ký cược",85.845.922.926,0,77.495.393.617,0,85845922926.0,0.0,77495393617.0,0.0
Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,Phải thu về cổ phần hóa,110.421.293,0,110.421.293,0,110421293.0,0.0,110421293.0,0.0
Phải thu về cổ tức và lợi nhuận dược chia,Phải thu về cổ tức và lợi nhuận dược chia,Phải thu về cổ tức và lợi nhuận dược chia,0,0,0,0,0.0,0.0,0.0,0.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,175.570.822.644,(28.416.000.000),173.853.478.070,(28.416.000.000),175570822644.0,-28416000000.0,173853478070.0,-28416000000.0
