row_label_raw,row_label_full,Quỹ đầu tư phát triển,8.082.212.578.853,6.952.536.781.356,numeric__8.082.212.578.853,numeric__6.952.536.781.356
Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,Quỹ hỗ trợ sắp xếp doanh nghiệp,990.086.946,27.981.071.708,990086946.0,27981071708.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,316.998.636.594,223.814.307.180,316998636594.0,223814307180.0
Cộng,Cộng,Cộng,8.400.201.302.393,7.204.332.160.244,8400201302393.0,7204332160244.0
