row_label_raw,row_label_full,23. Vay và nợ thuê tài chính,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,3.328.464.868.778,3.328.464.868.778,6.220.096.264.982,6.574.430.494.677,3.682.799.098.473,3.682.799.098.473,3328464868778.0,3328464868778.0,6220096264982.0,6574430494677.0,3682799098473.0,3682799098473.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,2.513.797.045.078,2.513.797.045.078,5.430.210.108.586,5.648.328.092.954,2.731.915.029.446,2.731.915.029.446,2513797045078.0,2513797045078.0,5430210108586.0,5648328092954.0,2731915029446.0,2731915029446.0
- Các khoản đi vay,- Các khoản đi vay,- Các khoản đi vay,2.513.797.045.078,2.513.797.045.078,5.430.210.108.586,5.648.328.092.954,2.731.915.029.446,2.731.915.029.446,2513797045078.0,2513797045078.0,5430210108586.0,5648328092954.0,2731915029446.0,2731915029446.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,,,,0,0.0,0.0,,,,0.0
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,,,,0,0.0,0.0,,,,0.0
Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,814.667.823.700,814.667.823.700,789.886.156.396,926.102.401.723,950.884.069.027,950.884.069.027,814667823700.0,814667823700.0,789886156396.0,926102401723.0,950884069027.0,950884069027.0
- Các khoản đi vay,- Các khoản đi vay,- Các khoản đi vay,814.667.823.700,814.667.823.700,789.886.156.396,926.102.401.723,950.884.069.027,950.884.069.027,814667823700.0,814667823700.0,789886156396.0,926102401723.0,950884069027.0,950884069027.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,,,,0,0.0,0.0,,,,0.0
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,,,,0,0.0,0.0,,,,0.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,10.109.574.293.754,10.109.574.293.754,1.231.714.664.640,1.476.027.754.313,10.353.887.383.427,10.353.887.383.427,10109574293754.0,10109574293754.0,1231714664640.0,1476027754313.0,10353887383427.0,10353887383427.0
- Các khoản đi vay,- Các khoản đi vay,- Các khoản đi vay,10.109.574.293.754,10.109.574.293.754,1.231.714.664.640,1.476.027.754.313,10.353.887.383.427,10.353.887.383.427,10109574293754.0,10109574293754.0,1231714664640.0,1476027754313.0,10353887383427.0,10353887383427.0
- Nợ thuê tài chính,- Nợ thuê tài chính,- Nợ thuê tài chính,0,0,,,,0,0.0,0.0,,,,0.0
- Trái phiếu phát hành,- Trái phiếu phát hành,- Trái phiếu phát hành,0,0,,,,0,0.0,0.0,,,,0.0
Cộng,Cộng,Cộng,13.438.039.162.532,13.438.039.162.532,7.451.810.929.622,8.050.458.248.990,14.036.686.481.900,14.036.686.481.900,13438039162532.0,13438039162532.0,7451810929622.0,8050458248990.0,14036686481900.0,14036686481900.0
