row_label_raw,row_label_full,CHỈ TIÊU > Số dư đầu năm trước > - Tăng trong năm trước > - Lãi/lỗ trong năm trước,Vốn góp của chủ sở hữu > 26.166.499.106.975,Quỹ đầu tư phát triển > 6.437.295.628.830 > 652.903.443.885,Quỹ hỗ trợ sắp xếp doanh nghiệp > 983.512.774 > 35.098.875.826,Quỹ khác thuộc vốn chủ sở hữu > 187.050.391.780 > 54.095.600.942,Nguồn vốn đầu tư XDCB > 4.673.747.832.229 > 9.480.883.908,LNST thuế chưa phân phối > 913.060.803.645 > 2.488.662.901.179,Lợi ích cổ đông không kiểm soát > 3.959.099.298.123 > 307.940.471.021,Cộng > 16.171.237.467.381 > 751.578.804.561 > 2.796.603.372.200,Tổng cộng > 43.130.146.435.651 > 1.241.755.635.236 > 2.796.603.372.200,numeric__Vốn góp của chủ sở hữu > 26.166.499.106.975,numeric__Quỹ đầu tư phát triển > 6.437.295.628.830 > 652.903.443.885,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp > 983.512.774 > 35.098.875.826,numeric__Quỹ khác thuộc vốn chủ sở hữu > 187.050.391.780 > 54.095.600.942,numeric__Nguồn vốn đầu tư XDCB > 4.673.747.832.229 > 9.480.883.908,numeric__LNST thuế chưa phân phối > 913.060.803.645 > 2.488.662.901.179,numeric__Lợi ích cổ đông không kiểm soát > 3.959.099.298.123 > 307.940.471.021,numeric__Cộng > 16.171.237.467.381 > 751.578.804.561 > 2.796.603.372.200,numeric__Tổng cộng > 43.130.146.435.651 > 1.241.755.635.236 > 2.796.603.372.200
- Tăng đo điều chỉnh cổ phần hóa,- Tăng đo điều chỉnh cổ phần hóa,- Tăng đo điều chỉnh cổ phần hóa,,,,,,367.730.776.945,,367.730.776.945,367.730.776.945,,,,,,367730776945.0,,367730776945.0,367730776945.0
- Giảm trong năm trước,- Giảm trong năm trước,- Giảm trong năm trước,(25.382.067.964),(137.662.291.359),(8.101.316.892),(17.331.685.542),(20.501.350.445),(2.096.805.258.879),(163.157.153.611),(2.443.559.056.728),(2.492.069.166.528),-25382067964.0,-137662291359.0,-8101316892.0,-17331685542.0,-20501350445.0,-2096805258879.0,-163157153611.0,-2443559056728.0,-2492069166528.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,0,,,,,,,,,0.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,26.141.117.039.011,6.952.536.781.356,27.981.071.708,223.814.307.180,4.662.727.365.692,1.672.649.222.890,4.103.882.615.533,17.643.591.364.359,45.044.167.053.504,26141117039011.0,6952536781356.0,27981071708.0,223814307180.0,4662727365692.0,1672649222890.0,4103882615533.0,17643591364359.0,45044167053504.0
- Tăng trong năm nay,- Tăng trong năm nay,- Tăng trong năm nay,,1.240.649.186.715,22.844.050.593,100.459.941.281,,,,1.363.953.178.589,1.372.184.620.398,,1240649186715.0,22844050593.0,100459941281.0,,,,1363953178589.0,1372184620398.0
- Lãi/lỗ trong năm nay,- Lãi/lỗ trong năm nay,- Lãi/lỗ trong năm nay,,,,,,3.477.775.673.159,458.031.651.233,3.935.807.324.392,3.935.807.324.392,,,,,,3477775673159.0,458031651233.0,3935807324392.0,3935807324392.0
- Tăng đo điều chỉnh cổ phần hóa,- Tăng đo điều chỉnh cổ phần hóa,- Tăng đo điều chỉnh cổ phần hóa,1.858.406.638.352,,,,,,,,2.479.543.720.166,1858406638352.0,,,,,,,,2479543720166.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,0,,,,,,,,,0.0
- Giảm trong năm nay,- Giảm trong năm nay,- Giảm trong năm nay,,(110.973.389.218),(49.835.035.355),(7.275.611.867),,(3.750.022.576.793),(291.153.913.331),(4.209.260.526.564),(4.297.276.848.075),,-110973389218.0,-49835035355.0,-7275611867.0,,-3750022576793.0,-291153913331.0,-4209260526564.0,-4297276848075.0
- Giảm đo điều chỉnh cổ phần hóa,- Giảm đo điều chỉnh cổ phần hóa,- Giảm đo điều chỉnh cổ phần hóa,(644.746.640.000),,,,,,,,(644.746.640.000),-644746640000.0,,,,,,,,-644746640000.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,0,,,,,,,,,0.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,27.354.777.037.363,8.082.212.578.853,990.086.946,316.998.636.594,4.662.727.365.692,1.400.402.319.256,4.270.760.353.435,18.734.091.340.776,47.889.679.230.385,27354777037363.0,8082212578853.0,990086946.0,316998636594.0,4662727365692.0,1400402319256.0,4270760353435.0,18734091340776.0,47889679230385.0
