row_label_raw,row_label_full,05.1. Phải thu về cho vay ngắn hạn,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Cho vay tại các công ty thành viên trong Tập đoàn,Cho vay tại các công ty thành viên trong Tập đoàn,Cho vay tại các công ty thành viên trong Tập đoàn,2.238.906.800,19.171.654.512,2238906800.0,19171654512.0
Cho vay tại văn phòng Công ty mẹ Tập đoàn,Cho vay tại văn phòng Công ty mẹ Tập đoàn,Cho vay tại văn phòng Công ty mẹ Tập đoàn,7.756.221.928,599.500.000.000,7756221928.0,599500000000.0
Cho vay theo hình thức Repo cổ phiếu,Cho vay theo hình thức Repo cổ phiếu,Cho vay theo hình thức Repo cổ phiếu,0,0,0.0,0.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,0,0,0.0,0.0
Cộng,Cộng,Cộng,9.995.128.728,618.671.654.512,9995128728.0,618671654512.0
05.2. Phải thu về cho vay dài hạn,05.2. Phải thu về cho vay dài hạn,05.2. Phải thu về cho vay dài hạn,Cuối năm,Đầu năm,,
Cho vay tại các công ty thành viên trong Tập đoàn,05.2. Phải thu về cho vay dài hạn > Cho vay tại các công ty thành viên trong Tập đoàn,Cho vay tại các công ty thành viên trong Tập đoàn,65.451.605.754,64.440.694.303,65451605754.0,64440694303.0
Cho vay tại văn phòng Công ty mẹ Tập đoàn,05.2. Phải thu về cho vay dài hạn > Cho vay tại văn phòng Công ty mẹ Tập đoàn,Cho vay tại văn phòng Công ty mẹ Tập đoàn,0,,0.0,
Cho vay tại Công ty Tài chính TNHH MTV Cao su Việt Nam được sáp nhập,05.2. Phải thu về cho vay dài hạn > Cho vay tại Công ty Tài chính TNHH MTV Cao su Việt Nam được sáp nhập,Cho vay tại Công ty Tài chính TNHH MTV Cao su Việt Nam được sáp nhập,1.077.711.705.691,1.216.360.322.304,1077711705691.0,1216360322304.0
- Cho vay theo hình thức Repo cổ phiếu,05.2. Phải thu về cho vay dài hạn > - Cho vay theo hình thức Repo cổ phiếu,- Cho vay theo hình thức Repo cổ phiếu,51.916.359.215,52.237.117.156,51916359215.0,52237117156.0
- Cho vay khách hàng,05.2. Phải thu về cho vay dài hạn > - Cho vay khách hàng,- Cho vay khách hàng,1.025.795.346.476,1.164.123.205.148,1025795346476.0,1164123205148.0
Cộng,05.2. Phải thu về cho vay dài hạn > Cộng,Cộng,1.143.163.311.445,1.280.801.016.607,1143163311445.0,1280801016607.0
