row_label_raw,row_label_full,Stt,"Tên công ty liên kết, liên doanh",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,"numeric__Tên công ty liên kết, liên doanh",numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
11,11,11,Công ty Cổ phần Du lịch Cao su Hàm Rồng,"Phố Hàm Rồng, thị trấn Sapa, huyện Sapa, tỉnh Lào Cai","34,00%","39,05%","Điều hành tua du lịchSản xuất và mua bán sản phẩm cao su; Băng tải, dây curroie, cao su nguyên liệu, sản phẩm cao su kỹ thuật",,,0.34,0.39049999999999996,
12,12,12,Công ty Cổ phần Cao su Bến Thành,"Lô B3,1 KCN Tây Bắc Củ Chi, TP. Hồ Chí Minh","48,85%","48,85%","Điều hành tua du lịchSản xuất và mua bán sản phẩm cao su; Băng tải, dây curroie, cao su nguyên liệu, sản phẩm cao su kỹ thuật",,,0.4885,0.4885,
13,13,13,Công ty Cổ phần Xây dựng Cao su Đồng Nai,"Đường số 1, ấp Trung Tâm, xã Xuân Lập, thị xã Long Khánh, tỉnh Đồng Nai","35,88%","41,50%","Xây dựng công trình dân dụng, công nghiệp, giao thông, thuỷ lợi; Sản xuất vật liệu xây dựng: Bêtông tươi, bêtông nhựa nóng, ống cống, cấu kiện bê tông đúc sẵn; Trồng, khai thác, chế biến và mua bán sản phẩm cây nông nghiệp và công nghiệp",,,0.3588,0.415,
14,14,14,Công ty Cổ phần Lộc Thịnh,"KCN Nhơn Trạch 2, Lộc Khang, xã Hiệp Phước, huyện Nhơn Trạch, tỉnh Đồng Nai","32,59%","32,59%","Xây dựng công trình đường sắt và đường bộ; Xây dựng công trình giao thông; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Đầu tư xây dựng hạ tầng khu công nghiệp",,,0.3259,0.3259,
15,15,15,Công ty Cổ phần Phú Việt Tín,"Khóm 10, ấp Trần Cao Văn, xã Bầu Hàm 2, huyện Thống Nhất, tỉnh Đồng Nai","25,00%","25,00%","Xây dựng công trình đường sắt và đường bộ; Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",,,0.25,0.25,
16,16,16,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,"Lô K5, K6, K7 Đường N9A, KCN Đầu Giấy, xã Bầu Hàm 2, huyện Thống Nhất, tỉnh Đồng Nai","49,06%","49,06%","Sản xuất sợi nhân tạo, sản xuất sản phẩm khác từ cao su",,,0.49060000000000004,0.49060000000000004,
17,17,17,Công ty Cổ phần Phát triển Khu công nghiệp Lộc Khang,"Văn phòng Nông trường Long Thành, Khu 13, xã Long Đức, huyện Long Thành, tỉnh Đồng Nai","29,03%","29,03%","Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê; Xây dựng nhà các loại; Xây dựng công trình đường sắt và đường bộ",,,0.2903,0.2903,
18,18,18,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,"Khu Công nghiệp Ia Khurol, thôn Tân Lập, xã Ia Khurol, huyện Chư Pãh, tỉnh Gia Lai","34,32%","34,32%","Khai thác gỗ; Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rom, rạ và vật liệu tert bên",,,0.3432,0.3432,
19,19,19,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,"Số 16 Võ Liêm Sơn, TP. Hà Tĩnh, tỉnh Hà Tĩnh","36,00%","36,00%","Khai thác khoáng hoá chất và khoáng phân bón; Thoát nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụngDầu tư và kinh doanh kết cấu hạ tầng khu công nghiệp; cung cấp nước sinh hoạt và sản xuất; Tư vấn lập các loại dự án, thiết kế, thi công xây dựng nhà xưởng và các công trình hạ tầng kỹ thuật",,,0.36,0.36,
20,20,20,Công ty Cổ phần Khu công nghiệp Hồ Nai,"KCN Hồ Nai, xã Hồ Nai, huyện Tràng Bom, tỉnh Đồng Nai","38,23%","40,13%","Khai thác khoáng hoá chất và khoáng phân bón; Thoát nước và xử lý nước thải Xây dựng công trình kỹ thuật dân dụngDầu tư và kinh doanh kết cấu hạ tầng khu công nghiệp; cung cấp nước sinh hoạt và sản xuất; Tư vấn lập các loại dự án, thiết kế, thi công xây dựng nhà xưởng và các công trình hạ tầng kỹ thuật",,,0.3823,0.40130000000000005,
