row_label_raw,row_label_full,10.1. Chi phí trả trước ngắn hạn,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,19.789.425.698,15.310.476.197,19789425698.0,15310476197.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,3.547.388.136,1.937.555.892,3547388136.0,1937555892.0
Chi phí thành lập doanh nghiệp,Chi phí thành lập doanh nghiệp,Chi phí thành lập doanh nghiệp,0,0,0.0,0.0
Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,0,21.789.637.894,0.0,21789637894.0
Giá trị lợi thế kinh doanh,Giá trị lợi thế kinh doanh,Giá trị lợi thế kinh doanh,0,0,0.0,0.0
Chi phí khác,Chi phí khác,Chi phí khác,25.704.179.415,31.020.956.838,25704179415.0,31020956838.0
Cộng,Cộng,Cộng,49.040.993.249,70.058.626.821,49040993249.0,70058626821.0
10.2. Chi phí trả trước dài hạn,10.2. Chi phí trả trước dài hạn,10.2. Chi phí trả trước dài hạn,Cuối năm,Đầu năm,,
Chi phí công cụ dụng cụ,10.2. Chi phí trả trước dài hạn > Chi phí công cụ dụng cụ,Chi phí công cụ dụng cụ,158.886.475.768,83.049.513.976,158886475768.0,83049513976.0
Chi phí sửa chữa,10.2. Chi phí trả trước dài hạn > Chi phí sửa chữa,Chi phí sửa chữa,46.731.030.057,47.965.548.791,46731030057.0,47965548791.0
Chi phí thành lập doanh nghiệp,10.2. Chi phí trả trước dài hạn > Chi phí thành lập doanh nghiệp,Chi phí thành lập doanh nghiệp,0,1.430.571.427,0.0,1430571427.0
Chi phí trợ cấp mất việc làm,10.2. Chi phí trả trước dài hạn > Chi phí trợ cấp mất việc làm,Chi phí trợ cấp mất việc làm,0,1.359.385.966,0.0,1359385966.0
Giá trị lợi thế kinh doanh,10.2. Chi phí trả trước dài hạn > Giá trị lợi thế kinh doanh,Giá trị lợi thế kinh doanh,0,0,0.0,0.0
Chi phí khác,10.2. Chi phí trả trước dài hạn > Chi phí khác,Chi phí khác,1.302.385.033.582,1.008.352.381.833,1302385033582.0,1008352381833.0
Cộng,10.2. Chi phí trả trước dài hạn > Cộng,Cộng,1.508.002.539.407,1.142.157.401.993,1508002539407.0,1142157401993.0
