row_label_raw,row_label_full,"11. Thuế và các khoản phải thu, phải trả Nhà nước > Thuế giá trị gia tăng nội địa > Thuế giá trị gia tăng nhập khẩu",Đầu năm > 51.498.505.003 > (60.232.059),Số phải nộp trong năm > 670.819.455.171 > 25.686.728.804,Số thực nộp trong năm > (666.479.797.618) > (26.055.504.273),Cuối năm > 55.838.162.556 > (429.007.528),numeric__Đầu năm > 51.498.505.003 > (60.232.059),numeric__Số phải nộp trong năm > 670.819.455.171 > 25.686.728.804,numeric__Số thực nộp trong năm > (666.479.797.618) > (26.055.504.273),numeric__Cuối năm > 55.838.162.556 > (429.007.528)
"Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu","Thuế xuất khẩu, nhập khẩu",(490.516.121),13.791.803.886,(13.911.926.248),(610.638.483),-490516121.0,13791803886.0,-13911926248.0,-610638483.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,71.670.704.192,770.175.613.598,(821.343.446.516),20.502.871.274,71670704192.0,770175613598.0,-821343446516.0,20502871274.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,6.421.053.285,55.180.306.106,(56.180.693.686),5.420.665.705,6421053285.0,55180306106.0,-56180693686.0,5420665705.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,6.186.150,768.369.254,(812.403.484),(37.848.080),6186150.0,768369254.0,-812403484.0,-37848080.0
