row_label_raw,row_label_full,01. Doanh thu bán hàng và cung cấp dịch vụ,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
"- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm","- Doanh thu bán hàng hóa, thành phẩm",19.169.691.742.138,15.034.983.086.516,19169691742138.0,15034983086516.0
- Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,448.512.741.317,167.371.827.347,448512741317.0,167371827347.0
"- Doanh thu hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","- Doanh thu hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","- Doanh thu hợp đồng xây dựng, bất động sản, cơ sở hạ tầng",441.440.821.497,373.713.478.218,441440821497.0,373713478218.0
Cộng,Cộng,Cộng,20.059.645.304.952,15.576.068.392.081,20059645304952.0,15576068392081.0
02. Các khoản giảm trừ doanh thu,02. Các khoản giảm trừ doanh thu,02. Các khoản giảm trừ doanh thu,Năm nay,Năm trước,,
- Chiết khấu thương mại,02. Các khoản giảm trừ doanh thu > - Chiết khấu thương mại,- Chiết khấu thương mại,4.345.096.115,11.273.837.684,4345096115.0,11273837684.0
- Giảm giá hàng bán,02. Các khoản giảm trừ doanh thu > - Giảm giá hàng bán,- Giảm giá hàng bán,3.901.870.690,2.472.285.405,3901870690.0,2472285405.0
- Hàng bán bị trả lại,02. Các khoản giảm trừ doanh thu > - Hàng bán bị trả lại,- Hàng bán bị trả lại,3.656.169.770,17.376.000.681,3656169770.0,17376000681.0
Cộng,02. Các khoản giảm trừ doanh thu > Cộng,Cộng,11.903.136.575,31.122.123.770,11903136575.0,31122123770.0
03. Doanh thu thuần về bán hàng và cung cấp dịch vụ,03. Doanh thu thuần về bán hàng và cung cấp dịch vụ,03. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay,Năm trước,,
"- Doanh thu thuần bán hàng hóa, thành phẩm","03. Doanh thu thuần về bán hàng và cung cấp dịch vụ > - Doanh thu thuần bán hàng hóa, thành phẩm","- Doanh thu thuần bán hàng hóa, thành phẩm",19.157.788.605.563,15.003.860.962.746,19157788605563.0,15003860962746.0
- Doanh thu thuần cung cấp dịch vụ,03. Doanh thu thuần về bán hàng và cung cấp dịch vụ > - Doanh thu thuần cung cấp dịch vụ,- Doanh thu thuần cung cấp dịch vụ,448.512.741.317,167.371.827.347,448512741317.0,167371827347.0
"- Doanh thu thuần hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","03. Doanh thu thuần về bán hàng và cung cấp dịch vụ > - Doanh thu thuần hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","- Doanh thu thuần hợp đồng xây dựng, bất động sản, cơ sở hạ tầng",441.440.821.497,373.713.478.218,441440821497.0,373713478218.0
Cộng,03. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Cộng,Cộng,20.047.742.168.377,15.544.946.268.311,20047742168377.0,15544946268311.0
04. Giá vốn hàng bán,04. Giá vốn hàng bán,04. Giá vốn hàng bán,Năm nay,Năm trước,,
"- Giá vốn bán hàng hóa, thành phẩm","04. Giá vốn hàng bán > - Giá vốn bán hàng hóa, thành phẩm","- Giá vốn bán hàng hóa, thành phẩm",14.147.955.176.015,11.825.832.394.733,14147955176015.0,11825832394733.0
- Giá vốn cung cấp dịch vụ,04. Giá vốn hàng bán > - Giá vốn cung cấp dịch vụ,- Giá vốn cung cấp dịch vụ,421.481.608.000,175.553.224.878,421481608000.0,175553224878.0
"- Giá vốn hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","04. Giá vốn hàng bán > - Giá vốn hợp đồng xây dựng, bất động sản, cơ sở hạ tầng","- Giá vốn hợp đồng xây dựng, bất động sản, cơ sở hạ tầng",207.535.103.314,145.486.791.550,207535103314.0,145486791550.0
- Giá vốn khác,04. Giá vốn hàng bán > - Giá vốn khác,- Giá vốn khác,24.356.781.194,25.868.666.784,24356781194.0,25868666784.0
Cộng,04. Giá vốn hàng bán > Cộng,Cộng,14.801.328.668.523,12.172.741.077.945,14801328668523.0,12172741077945.0
05. Doanh thu hoạt động tài chính:,05. Doanh thu hoạt động tài chính:,05. Doanh thu hoạt động tài chính:,Năm nay,Năm trước,,
"- Lãi tiền gửi, tiền cho vay","05. Doanh thu hoạt động tài chính: > - Lãi tiền gửi, tiền cho vay","- Lãi tiền gửi, tiền cho vay",503.541.114.014,372.645.266.492,503541114014.0,372645266492.0
- Lãi bán các khoản đầu tư,05. Doanh thu hoạt động tài chính: > - Lãi bán các khoản đầu tư,- Lãi bán các khoản đầu tư,1.278.881.568,61.350.993.010,1278881568.0,61350993010.0
"- Cổ tức, lợi nhuận được chia","05. Doanh thu hoạt động tài chính: > - Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",2.265.534.331,5.025.781.666,2265534331.0,5025781666.0
- Lãi bán ngoại tệ,05. Doanh thu hoạt động tài chính: > - Lãi bán ngoại tệ,- Lãi bán ngoại tệ,1.862.978.079,236.631.947,1862978079.0,236631947.0
- Lãi chênh lệch tỷ giả,05. Doanh thu hoạt động tài chính: > - Lãi chênh lệch tỷ giả,- Lãi chênh lệch tỷ giả,43.514.779.691,85.531.808.527,43514779691.0,85531808527.0
