row_label_raw,row_label_full,25.2. Chi tiết vốn góp của chủ sở hữu,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,Vốn đầu tư của Nhà nước,27.354.777.037.363,26.141.117.039.011,27354777037363.0,26141117039011.0
Cộng,Cộng,Cộng,27.354.777.037.363,26.141.117.039.011,27354777037363.0,26141117039011.0
