row_label_raw,row_label_full,20.1. Chi phí phải trả ngắn hạn,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,108.078.251.212,79.610.278.128,108078251212.0,79610278128.0
Chi phí sửa chữa lớn TSCĐ,Chi phí sửa chữa lớn TSCĐ,Chi phí sửa chữa lớn TSCĐ,177.215.000,213.539.686,177215000.0,213539686.0
Trích trước tiền thuê đất,Trích trước tiền thuê đất,Trích trước tiền thuê đất,9.760.436.770,0,9760436770.0,0.0
Chi phí khác,Chi phí khác,Chi phí khác,123.933.481.509,147.886.622.498,123933481509.0,147886622498.0
Cộng,Cộng,Cộng,241.949.384.491,227.710.440.312,241949384491.0,227710440312.0
20.2. Chi phí phải trả dài hạn,20.2. Chi phí phải trả dài hạn,20.2. Chi phí phải trả dài hạn,Cuối năm,Đầu năm,,
Chi phí khác,20.2. Chi phí phải trả dài hạn > Chi phí khác,Chi phí khác,27.004.156.509,23.125.082.344,27004156509.0,23125082344.0
Cộng,20.2. Chi phí phải trả dài hạn > Cộng,Cộng,27.004.156.509,23.125.082.344,27004156509.0,23125082344.0
