row_label_raw,row_label_full,col_0,Cuối năm,Đơn vị tính: VND),numeric__Cuối năm,numeric__Đơn vị tính: VND)
01. Tiền và các khoản tương đương tiền,01. Tiền và các khoản tương đương tiền,01. Tiền và các khoản tương đương tiền,,,,
Tiền mặt,01. Tiền và các khoản tương đương tiền > Tiền mặt,Tiền mặt,87.704.963.111,117.306.121.024,87704963111.0,117306121024.0
Tiền gửi ngân hàng không kỳ hạn,01. Tiền và các khoản tương đương tiền > Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,1.445.169.422.170,1.647.343.726.245,1445169422170.0,1647343726245.0
Tiền đang chuyển,01. Tiền và các khoản tương đương tiền > Tiền đang chuyển,Tiền đang chuyển,0,0,0.0,0.0
Các khoản tương đương tiền,01. Tiền và các khoản tương đương tiền > Các khoản tương đương tiền,Các khoản tương đương tiền,3.628.570.233.886,4.269.684.476.912,3628570233886.0,4269684476912.0
Cộng,01. Tiền và các khoản tương đương tiền > Cộng,Cộng,5.161.444.619.167,6.034.334.324.181,5161444619167.0,6034334324181.0
