row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế","Phần mềm, bản quyền máy tính",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế","numeric__Phần mềm, bản quyền máy tính",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,124.823.967.336,100.000.000,41.392.655.919,8.380.861.125,174.697.484.380,124823967336.0,100000000.0,41392655919.0,8380861125.0,174697484380.0
- Mua trong năm,Nguyên giá TSCĐ vô hình > - Mua trong năm,- Mua trong năm,,69.680.000,6.287.772.365,235.000.000,6.592.452.365,,69680000.0,6287772365.0,235000000.0,6592452365.0
- Tăng khác,Nguyên giá TSCĐ vô hình > - Tăng khác,- Tăng khác,,,,,0,,,,,0.0
- Tăng do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,,,2.464.804,,2.464.804,,,2464804.0,,2464804.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.023.416.857),,(253.008.701),,(2.276.425.558),-2023416857.0,,-253008701.0,,-2276425558.0
- Giảm khác,Nguyên giá TSCĐ vô hình > - Giảm khác,- Giảm khác,,,,(1.500.000),(1.500.000),,,,-1500000.0,-1500000.0
- Giảm do chuyển đổi BCTC,Nguyên giá TSCĐ vô hình > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(24.878.205),,(54.342.521),,(79.220.726),-24878205.0,,-54342521.0,,-79220726.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,122.775.672.274,169.680.000,47.375.541.866,8.614.361.125,178.935.255.265,122775672274.0,169680000.0,47375541866.0,8614361125.0,178935255265.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.913.041.172,60.430.120,23.130.555.927,4.091.351.272,41.195.378.491,13913041172.0,60430120.0,23130555927.0,4091351272.0,41195378491.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.019.229.359,42.539.866,6.978.228.917,665.750.890,9.705.749.032,2019229359.0,42539866.0,6978228917.0,665750890.0,9705749032.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
- Tăng do chuyển đổi BCTC,- Tăng khác > - Tăng do chuyển đổi BCTC,- Tăng do chuyển đổi BCTC,,,4.094.775,,4.094.775,,,4094775.0,,4094775.0
"- Thanh lý, nhượng bán","- Tăng khác > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(359.964.974),,(245.472.590),,(605.437.564),-359964974.0,,-245472590.0,,-605437564.0
- Giảm khác,- Tăng khác > - Giảm khác,- Giảm khác,,,,(775.000),(775.000),,,,-775000.0,-775000.0
- Giảm do chuyển đổi BCTC,- Tăng khác > - Giảm do chuyển đổi BCTC,- Giảm do chuyển đổi BCTC,(3.949.997),,(12.650.975),,(16.600.972),-3949997.0,,-12650975.0,,-16600972.0
Số dư cuối năm,- Tăng khác > Số dư cuối năm,Số dư cuối năm,15.568.355.560,102.969.986,29.854.756.054,4.756.327.162,50.282.408.762,15568355560.0,102969986.0,29854756054.0,4756327162.0,50282408762.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,110.910.926.164,39.569.880,18.262.099.992,4.289.509.853,133.502.105.889,110910926164.0,39569880.0,18262099992.0,4289509853.0,133502105889.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,107.207.316.714,66.710.014,17.520.785.812,3.858.033.963,128.652.846.503,107207316714.0,66710014.0,17520785812.0,3858033963.0,128652846503.0
