row_label_raw,row_label_full,02. Đầu tư tài chính > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số cuối năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số cuối năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)_1,Số đầu năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),Số đầu năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số cuối năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số cuối năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Giá gốc > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)_1,numeric__Số đầu năm > Dự phòng > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo),numeric__Số đầu năm > Giá trị hợp lý > 02.4. Đầu tư góp vốn vào đơn vị khác (Tiếp theo)
Công ty Cổ phần Vũng Tàu Intourco,Công ty Cổ phần Vũng Tàu Intourco,Công ty Cổ phần Vũng Tàu Intourco,3.850.000.000,0,3.850.000.000,3.854.312.000,0,3.854.312.000,,3850000000.0,0.0,3850000000.0,3854312000.0,0.0,3854312000.0,
Công ty Cổ phần Chứng khoán SH,Công ty Cổ phần Chứng khoán SH,Công ty Cổ phần Chứng khoán SH,168.707.676,0,168.707.676,168.707.676,0,168.707.676,,168707676.0,0.0,168707676.0,168707676.0,0.0,168707676.0,
Công ty Cổ phần EVN Quốc Tế,Công ty Cổ phần EVN Quốc Tế,Công ty Cổ phần EVN Quốc Tế,44.118.073.392,0,44.118.073.392,43.200.000.000,0,43.200.000.000,,44118073392.0,0.0,44118073392.0,43200000000.0,0.0,43200000000.0,
Công ty Cổ phần Thép tám Miền Nam,Công ty Cổ phần Thép tám Miền Nam,Công ty Cổ phần Thép tám Miền Nam,0,0,0,9.941.142.224,(9.941.142.224),0,,0.0,0.0,0.0,9941142224.0,-9941142224.0,0.0,
Quỹ con hỗ Việt Nam,Quỹ con hỗ Việt Nam,Quỹ con hỗ Việt Nam,300.000.000,0,300.000.000,300.000.000,0,300.000.000,,300000000.0,0.0,300000000.0,300000000.0,0.0,300000000.0,
Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,Công ty Cổ phần Du lịch Sài Gòn Đông Hà,13.877.341.956,0,13.877.341.956,20.000.000.000,(5.409.459.225),14.590.540.775,,13877341956.0,0.0,13877341956.0,20000000000.0,-5409459225.0,14590540775.0,
Công ty Cổ phần Thủy sản An Phú,Công ty Cổ phần Thủy sản An Phú,Công ty Cổ phần Thủy sản An Phú,11.000.000.000,0,11.000.000.000,11.000.000.000,0,11.000.000.000,,11000000000.0,0.0,11000000000.0,11000000000.0,0.0,11000000000.0,
Công ty Cổ phần CB Thủy sản XK Đồng Tháp,Công ty Cổ phần CB Thủy sản XK Đồng Tháp,Công ty Cổ phần CB Thủy sản XK Đồng Tháp,0,0,0,37.300.000.000,(37.300.000.000),0,,0.0,0.0,0.0,37300000000.0,-37300000000.0,0.0,
Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,79.567.924.335,0,79.567.924.335,65.795.752.000,0,65.795.752.000,,79567924335.0,0.0,79567924335.0,65795752000.0,0.0,65795752000.0,
TCTy Xây dựng Thủy lợi 4 - CTCP,TCTy Xây dựng Thủy lợi 4 - CTCP,TCTy Xây dựng Thủy lợi 4 - CTCP,24.418.782.000,0,24.418.782.000,28.381.280.000,0,28.381.280.000,,24418782000.0,0.0,24418782000.0,28381280000.0,0.0,28381280000.0,
Công ty Cổ phần Thép Hưng Thịnh Công ty Cổ phần Đầu tư XD & XNK Cao su,Công ty Cổ phần Thép Hưng Thịnh Công ty Cổ phần Đầu tư XD & XNK Cao su,Công ty Cổ phần Thép Hưng Thịnh Công ty Cổ phần Đầu tư XD & XNK Cao su,0,0,0,1.300.000.000,(1.300.000.000),0,,0.0,0.0,0.0,1300000000.0,-1300000000.0,0.0,
Công ty Cổ phần BOT QL13 An Lộc-Hoa Lư,Công ty Cổ phần BOT QL13 An Lộc-Hoa Lư,Công ty Cổ phần BOT QL13 An Lộc-Hoa Lư,1.500.000.000,0,1.500.000.000,1.500.000.000,0,1.500.000.000,,1500000000.0,0.0,1500000000.0,1500000000.0,0.0,1500000000.0,
