row_label_raw,row_label_full,Stt,Tên viết tắt,Tên công ty Kiểm toán,numeric__Tên viết tắt,numeric__Tên công ty Kiểm toán
1,1,1,A&C,Công ty TNHH Kiểm toán và Tư vấn A&C,,
2,2,2,AAC,Công ty TNHH Kiểm toán và Kế toán AAC,,
3,3,3,AASC,Công ty TNHH Hăng Kiểm toán AASC,,
4,4,4,AASCs,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,,
5,5,5,AFA,Công ty TNHH Kiểm toán AFA,,
6,6,6,AFC,Công ty TNHH Kiểm toán AFC Việt Nam,,
7,7,7,AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,,
8,8,8,AVINA-IAFC,"Công ty TNHH Tư vấn thuế, Kế toán và Kiểm toán AVINA-IAFC",,
9,9,9,CPA Việt Nam,Công ty TNHH Kiểm toán CPA Việt Nam,,
10,10,10,KPMG,Công ty TNHH KPMG Việt Nam,,
11,11,11,PKF,Công ty TNHH PKF Việt Nam,,
12,12,12,SGA,Công ty TNHH Kiểm toán thuế Tư vấn Sài Gòn,,
13,13,13,"Thăng Long, TDK","Công ty TNHH Kế toán và Định giá Thăng Long, TDK",,
14,14,14,VIETVALUES,Công ty TNHH Kiểm toán và Tư vấn Chuẩn Việt,,
