row_label_raw,row_label_full,Sht,Tên công ty con,Nơi thành lập và hoạt động,Hoạt động kinh doanh chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Hoạt động kinh doanh chính
10,10,10,Công ty TNHH MTV Cao su Kon Tum,"258 Phan Đình Phùng, TP. Kon Tum, tỉnh Kon Tum","Trồng mới, khai thác, chăm sóc và chế biến mù cao su",,,
11,11,11,Công ty TNHH MTV Cao su Mang Yang,"536 Nguyễn Huệ, thị trấn Đắk Doa, huyện Đắk Doa, tỉnh Gia Lai","Bán buôn cao su; Trồng trọt, chăn nuôi hỗn hợp, trồng cây cao su; Sản xuất phân bón và hợp chất nỉ to; Bán buôn phân bón, thuốc trừ sâu và hóa chất khác sử dụng trong nông nghiệp",,,
12,12,12,Công ty TNHH MTV Cao su Chư Păng,"01 Nguyễn Thị Minh Khai, thị trấn Phú Hoà, huyện Chư Păng, tỉnh Gia Lai","Trồng mới, chăm sóc, khai thác, chế biến mù cao su, cả phê, hồ tiêu, sản xuất gỗ thành phẩm; Sản xuất phân bón; Thương nghiệp bán buôn và trực tiếp xuất khẩu",,,
13,13,13,Công ty TNHH MTV Cao su Quảng Nam,"Quốc lộ 1 A, xã Bình Nguyên, huyện Thăng Bình, tỉnh Quảng Nam","Đầu tư trồng, chăm sóc cây cao su; Xây dựng công trình dân dụng, xây dựng cơ sở hạ tầng nông thôn, miền núi",,,
14,14,14,Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,"Huyện Nam Giang, tỉnh Quảng Nam","Đầu tư trồng, chăm sóc, khai thác, chế biến cao su nguyên liệu và tiêu thụ sản phẩm; Trồng rừng kinh tế, rừng nguyên liệu; Dịch vụ Khách sạn",,,
15,15,15,Công ty TNHH MTV Cao su Hà Tĩnh,"Km22, QL 15A, xã Hà Linh, huyện Hương Khê, Tỉnh Hà Tĩnh","Trồng, bảo vệ và khoanh nuôi rừng; Khai thác, chế biến, tiêu thụ các loại làm sản; Xuất khẩu sản phẩm cao su thành phẩm; sản xuất gạch ngói",,,
16,16,16,Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,"Xóm 12 xã Hương Long, huyện Hương Khê, tỉnh Hà Tĩnh","Trồng và chăm sóc, khai thác, chế biến, xuất khẩu sản phẩm Cao su",,,
17,17,17,Công ty TNHH MTV Cao su Thanh Hóa,"Đường Lý Nam Dé, khu đô thị mới Đông Hưng, TP. Thanh Hoá, tỉnh Thanh Hoá","Đầu tư trồng, chăm sóc, khai thác, chế biến cao su nguyên liệu và tiêu thụ sản phẩm cao su",,,
18,18,18,Công ty TNHH MTV Cao su Quảng Trị,"264 đường Hùng Vương, Phương Đông Lương, TP Đông Hà, tỉnh Quảng Trị","Trồng mới, chăm sóc, khai thác, chế biến và kinh doanh mù cao su thiên nhiên",,,
19,19,19,Công ty TNHH MTV Cao su Bình Thuận,"Thị Trấn Đức Tài, huyện Đức Linh, tỉnh Bình Thuận","Trồng mới, chăm sóc, khai thác, chế biến mù cao su",,,
20,20,20,Công ty TNHH MTV Cao su Quảng Ngãi,"Xã Bình Hiệp, huyện Bình Sơn, tỉnh Quảng Ngãi","Đầu tư trồng, chăm sóc, khai thác, chế biến cao su nguyên liệu và tiêu thụ sản phẩm cao su",,,
