row_label_raw,row_label_full,22.1. Phải trả ngắn hạn khác,Cuối năm,Đầu năm,numeric__Cuối năm,numeric__Đầu năm
Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết,Tải sản thừa chờ giải quyết,1.465.464.038,447.724.055,1465464038.0,447724055.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,14.981.664.521,20.141.314.853,14981664521.0,20141314853.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,12.980.688.451,12.429.935.072,12980688451.0,12429935072.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,548.472.308,1.295.481.740,548472308.0,1295481740.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,1.380.307.035,1.253.845.054,1380307035.0,1253845054.0
Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,388.788.020,388.788.020,388788020.0,388788020.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",120.437.602.984,101.314.192.201,120437602984.0,101314192201.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",7.016.045.711,13.647.536.137,7016045711.0,13647536137.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",1.055.797.646.655,712.282.656.568,1055797646655.0,712282656568.0
Cộng,Cộng,Cộng,1.214.996.679.723,863.201.473.700,1214996679723.0,863201473700.0
22.2. Phải trả dài hạn khác,22.2. Phải trả dài hạn khác,22.2. Phải trả dài hạn khác,Cuối năm,Đầu năm,,
"Nhận ký quỹ, ký cược dài hạn","22.2. Phải trả dài hạn khác > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",24.461.199.620,23.173.253.279,24461199620.0,23173253279.0
Hợp vốn đầu tư,22.2. Phải trả dài hạn khác > Hợp vốn đầu tư,Hợp vốn đầu tư,15.990.839.647,105.269.157.874,15990839647.0,105269157874.0
"Các khoản phải trả, phải nộp khác","22.2. Phải trả dài hạn khác > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",143.345.369.856,14.215.439.381,143345369856.0,14215439381.0
Cộng,22.2. Phải trả dài hạn khác > Cộng,Cộng,183.797.409.123,142.657.850.534,183797409123.0,142657850534.0
24. Dự phòng phải trả ngắn hạn,24. Dự phòng phải trả ngắn hạn,24. Dự phòng phải trả ngắn hạn,Cuối năm,Đầu năm,,
Dự phòng phải trả khác,24. Dự phòng phải trả ngắn hạn > Dự phòng phải trả khác,Dự phòng phải trả khác,1.159.389.896,545.409.076,1159389896.0,545409076.0
Cộng,24. Dự phòng phải trả ngắn hạn > Cộng,Cộng,1.159.389.896,545.409.076,1159389896.0,545409076.0
