row_label_raw,row_label_full,08. Tài sản thiếu chờ xử lý,Cuối năm > Số lượng,Cuối năm > Giá trị,Đầu năm > Số lượng,Đầu năm > Giá trị,numeric__Cuối năm > Số lượng,numeric__Cuối năm > Giá trị,numeric__Đầu năm > Số lượng,numeric__Đầu năm > Giá trị
Tiền,Tiền,Tiền,,6.646.306.957,,6.646.306.957,,6646306957.0,,6646306957.0
"Hàng tồn kho, gửi bán","Hàng tồn kho, gửi bán","Hàng tồn kho, gửi bán",,2.769.040.641,,600.686.555,,2769040641.0,,600686555.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,,240.597.450,,240.597.450,,240597450.0,,240597450.0
Tài sản khác,Tài sản khác,Tài sản khác,,13.288.001.112,,13.243.064.941,,13288001112.0,,13243064941.0
Cộng,Cộng,Cộng,,22.943.946.160,,20.730.655.903,,22943946160.0,,20730655903.0
09. Hàng tồn kho,09. Hàng tồn kho,09. Hàng tồn kho,Cuối năm,Cuối năm,Đầu năm,Đầu năm,,,,
09. Hàng tồn kho,09. Hàng tồn kho,09. Hàng tồn kho,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Hàng mua đang đi trên đường,09. Hàng tồn kho > Hàng mua đang đi trên đường,Hàng mua đang đi trên đường,18.107.851.374,,25.462.045.010,,18107851374.0,,25462045010.0,
"Nguyên liệu, vật liệu tồn kho","09. Hàng tồn kho > Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",472.831.433.783,,425.051.565.134,,472831433783.0,,425051565134.0,
"Công cụ, dụng cụ trong kho","09. Hàng tồn kho > Công cụ, dụng cụ trong kho","Công cụ, dụng cụ trong kho",229.299.757.511,,182.919.007.112,,229299757511.0,,182919007112.0,
Chi phí SXKD dở dang,09. Hàng tồn kho > Chi phí SXKD dở dang,Chi phí SXKD dở dang,598.166.966.696,(14.623.533.211),531.445.490.141,(6.645.909.992),598166966696.0,-14623533211.0,531445490141.0,-6645909992.0
Thành phẩm tồn kho,09. Hàng tồn kho > Thành phẩm tồn kho,Thành phẩm tồn kho,2.078.044.186.853,,1.326.812.732.261,,2078044186853.0,,1326812732261.0,
Hàng hóa tồn kho,09. Hàng tồn kho > Hàng hóa tồn kho,Hàng hóa tồn kho,124.059.938.470,,59.719.813.490,,124059938470.0,,59719813490.0,
Hàng gửi đi bán,09. Hàng tồn kho > Hàng gửi đi bán,Hàng gửi đi bán,36.052.715.758,,29.439.042.075,,36052715758.0,,29439042075.0,
Hàng hóa bắt động sản,09. Hàng tồn kho > Hàng hóa bắt động sản,Hàng hóa bắt động sản,0,,27.194.746.100,,0.0,,27194746100.0,
Cộng,09. Hàng tồn kho > Cộng,Cộng,3.556.562.850.445,(14.623.533.211),2.608.044.441.323,(6.645.909.992),3556562850445.0,-14623533211.0,2608044441323.0,-6645909992.0
