row_label_raw,row_label_full,02.1. Chứng khoán kinh doanh,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Công ty CP Xỉ măng Bim Son (BCC),Công ty CP Xỉ măng Bim Son (BCC),Công ty CP Xỉ măng Bim Son (BCC),0,0,0,687.087.000,0,687.087.000,0.0,0.0,0.0,687087000.0,0.0,687087000.0
Công ty CP Xỉ măng Sài Son (SCJ),Công ty CP Xỉ măng Sài Son (SCJ),Công ty CP Xỉ măng Sài Son (SCJ),1.186.747.500,(1.012.747.500),174.000.000,1.186.747.500,(1.054.747.500),132.000.000,1186747500.0,-1012747500.0,174000000.0,1186747500.0,-1054747500.0,132000000.0
Công ty CP Phát triển Đô thị Kinh Bắc (KBC),Công ty CP Phát triển Đô thị Kinh Bắc (KBC),Công ty CP Phát triển Đô thị Kinh Bắc (KBC),2.934.236.720,(2.130.236.720),804.000.000,2.934.236.720,(2.103.236.720),831.000.000,2934236720.0,-2130236720.0,804000000.0,2934236720.0,-2103236720.0,831000000.0
Tổng Công ty CP Bảo hiểm Đầu khí Việt Nam (PVI),Tổng Công ty CP Bảo hiểm Đầu khí Việt Nam (PVI),Tổng Công ty CP Bảo hiểm Đầu khí Việt Nam (PVI),0,0,0,1.243.304.900,(230.804.900),1.012.500.000,0.0,0.0,0.0,1243304900.0,-230804900.0,1012500000.0
Công ty CP Đầu tư và Công nghiệp Tân Tạo (ITA),Công ty CP Đầu tư và Công nghiệp Tân Tạo (ITA),Công ty CP Đầu tư và Công nghiệp Tân Tạo (ITA),1.442.160.000,(1.218.393.600),223.766.400,1.442.160.000,(1.168.286.400),273.873.600,1442160000.0,-1218393600.0,223766400.0,1442160000.0,-1168286400.0,273873600.0
Ngân hàng Thương mại Cổ phần Á Châu (ACB),Ngân hàng Thương mại Cổ phần Á Châu (ACB),Ngân hàng Thương mại Cổ phần Á Châu (ACB),3.847.587,0,3.847.587,3.847.587,(2.122.787),1.724.800,3847587.0,0.0,3847587.0,3847587.0,-2122787.0,1724800.0
Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội (SHB),396.792,0,396.792,396.792,(162.192),234.600,396792.0,0.0,396792.0,396792.0,-162192.0,234600.0
Công ty CP Công nghiệp Cao su Miền Nam (CSM),Công ty CP Công nghiệp Cao su Miền Nam (CSM),Công ty CP Công nghiệp Cao su Miền Nam (CSM),28.400.000,0,28.400.000,28.400.000,0,28.400.000,28400000.0,0.0,28400000.0,28400000.0,0.0,28400000.0
Công ty Cổ phần Chương Dương (CDC),Công ty Cổ phần Chương Dương (CDC),Công ty Cổ phần Chương Dương (CDC),0,0,0,7.551.104.089,(3.582.104.089),3.969.000.000,0.0,0.0,0.0,7551104089.0,-3582104089.0,3969000000.0
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),Công ty Cổ phần Đầu tư và Phát triển Hạ tầng Thái Bình Dương (PPI),4.096.741.500,(2.822.199.700),1.274.541.800,16.506.909.456,(14.504.058.056),2.002.851.400,4096741500.0,-2822199700.0,1274541800.0,16506909456.0,-14504058056.0,2002851400.0
