row_label_raw,row_label_full,- Hoàn nhập Quỹ PT khoa học công nghệ,262.737.995,5.540.925.074,numeric__262.737.995,numeric__5.540.925.074
- Các khoản khác,- Các khoản khác,- Các khoản khác,129.049.583.650,252.674.471.539,129049583650.0,252674471539.0
Cộng,Cộng,Cộng,1.458.283.648.870,1.165.094.287.643,1458283648870.0,1165094287643.0
