row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,2.184.946.175,189.965.805,-,2.374.911.980,2184946175.0,189965805.0,,2374911980.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,813.446.422,901.836.434,(1.715.282.856),-,813446422.0,901836434.0,-1715282856.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,2.998.392.597,1.091.802.239,(1.715.282.856),2.374.911.980,2998392597.0,1091802239.0,-1715282856.0,2374911980.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,914.187.798,948.179.111,(1.715.282.856),147.084.053 (558.577.719),914187798.0,948179111.0,-1715282856.0,
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,,,,,,,,
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Chi phí hoạt động > Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(411.493.666),,,,-411493666.0
Doanh thu tài chính,Chi phí hoạt động > Doanh thu tài chính,Doanh thu tài chính,,,,1.018.899.635,,,,1018899635.0
Chi phí tài chính,Chi phí hoạt động > Chi phí tài chính,Chi phí tài chính,,,,(580.791.755),,,,-580791755.0
Chia lãi từ công ty liên kết,Chi phí hoạt động > Chia lãi từ công ty liên kết,Chia lãi từ công ty liên kết,,,,21.759.456,,,,21759456.0
Lỗ kế toán trước thuế,Chi phí hoạt động > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,48.373.670,,,,48373670.0
Chi phí thuế TNDN hiện hành,Chi phí hoạt động > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(1.502.385),,,,-1502385.0
Chi phí thuế thu nhập hoãn lại,Chi phí hoạt động > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,(25.975.489),,,,-25975489.0
Lãi thuần trong năm,Chi phí hoạt động > Lãi thuần trong năm,Lãi thuần trong năm,,,,20.895.796,,,,20895796.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,22.255.334.276,2.092.972.488,-,24.348.306.764,22255334276.0,2092972488.0,,24348306764.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,321.560.075,,,,321560075.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,24.669.866.839,,,,24669866839.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(14.530.951.892),(1.458.895.320),-,(15.989.847.212),-14530951892.0,-1458895320.0,,-15989847212.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(15.989.847.212),,,,-15989847212.0
