row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,399.144.484,5.980.000,405.124.484,399144484.0,5980000.0,405124484.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(393.890.494),-,(393.890.494),-393890494.0,,-393890494.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.253.990,5.980.000,11.233.990,5253990.0,5980000.0,11233990.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số đầu năm,Hao mòn lũy kế > Số đầu năm,Số đầu năm,(11.107.943),(498.333),(11.606.276),-11107943.0,-498333.0,-11606276.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(747.500),(747.500),,-747500.0,-747500.0
Thanh lý công ty con,Hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,11.107.943,-,11.107.943,11107943.0,,11107943.0
Số cuối năm,Hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(1.245.833),(1.245.833),,-1245833.0,-1245833.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,388.036.541,5.481.667,393.518.208,388036541.0,5481667.0,393518208.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,5.253.990,4.734.167,9.988.157,5253990.0,4734167.0,9988157.0
