row_label_raw,row_label_full,Số đầu năm > Dự phòng trích lập trong năm > Sử dụng và hoàn nhập dự phòng trong năm,Năm nay > 16.368.434 > 58.843.949 > (10.289.074),Ngàn VNDNăm trước > 19.574.090 > 534.825 > (3.740.481),numeric__Năm nay > 16.368.434 > 58.843.949 > (10.289.074),numeric__Ngàn VNDNăm trước > 19.574.090 > 534.825 > (3.740.481)
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,(3.589.369),-,-3589369.0,
Số cuối năm,Số cuối năm,Số cuối năm,61.333.940,16.368.434,61333940.0,16368434.0
