row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Chênh lệch tỷ giá hối đoái,Lỗ lũy kế,Cổ đông không kiểm soát,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lỗ lũy kế,numeric__Cổ đông không kiểm soát,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(203.488.917),(2.323.758.949),9.534.536,9.737.952.620,11085538950.0,1170127000.0,-203488917.0,-2323758949.0,9534536.0,9737952620.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,20.911.042,(15.246),20.895.796,,,,20911042.0,-15246.0,20895796.0
Mua lại cổ phần được phát hành bởi công ty con và của cổ đông không kiểm soát,Năm trước > Mua lại cổ phần được phát hành bởi công ty con và của cổ đông không kiểm soát,Mua lại cổ phần được phát hành bởi công ty con và của cổ đông không kiểm soát,-,-,-,(2.057.490),(9.269.189),(11.326.679),,,,-2057490.0,-9269189.0,-11326679.0
Chi thù lao HĐQT và BKS,Năm trước > Chi thù lao HĐQT và BKS,Chi thù lao HĐQT và BKS,-,-,-,(1.200.000),-,(1.200.000),,,,-1200000.0,,-1200000.0
Thanh lý các công ty con,Năm trước > Thanh lý các công ty con,Thanh lý các công ty con,-,-,(51.784.451),-,-,(51.784.451),,,-51784451.0,,,-51784451.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,(1.014.517.659),-,-,(1.014.517.659),,,-1014517659.0,,,-1014517659.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(1.269.791.027),(2.306.105.397),250.101,8.680.019.627,11085538950.0,1170127000.0,-1269791027.0,-2306105397.0,250101.0,8680019627.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,(1.269.791.027),(2.306.105.397),250.101,8.680.019.627,11085538950.0,1170127000.0,-1269791027.0,-2306105397.0,250101.0,8680019627.0
Lỗ trong năm,Năm nay > Lỗ trong năm,Lỗ trong năm,-,,-,(1.119.430.311),-,(1.119.430.311),,,,-1119430311.0,,-1119430311.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,(1.562.355.788),-,-,(1.562.355.788),,,-1562355788.0,,,-1562355788.0
Thanh lý công ty,Năm nay > Thanh lý công ty,Thanh lý công ty,-,-,-,-,(250.101),(250.101),,,,,-250101.0,-250101.0
Chi thù lao HĐQT và BKS,Năm nay > Chi thù lao HĐQT và BKS,Chi thù lao HĐQT và BKS,-,-,-,(960.000),-,(960.000),,,,-960000.0,,-960000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,(2.832.146.815),(3.426.495.708),-,5.997.023.427,11085538950.0,1170127000.0,-2832146815.0,-3426495708.0,,5997023427.0
