row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,175.496.699,290.104.662,175496699.0,290104662.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,159.991.506,252.656.923,159991506.0,252656923.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,5.867.514,10.352.250,5867514.0,10352250.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,4.934.389,20.820.945,4934389.0,20820945.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,207.937,2.853.664,207937.0,2853664.0
Khác,Khác,Khác,4.495.353,3.420.880,4495353.0,3420880.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,134.707.366,212.530.228,134707366.0,212530228.0
Dự phòng (hoàn nhập dự phòng),Dự phòng (hoàn nhập dự phòng),Dự phòng (hoàn nhập dự phòng),,,,
nợ phải thu khó đòi,Dự phòng (hoàn nhập dự phòng) > nợ phải thu khó đòi,nợ phải thu khó đòi,51.808.715,(1.625.139),51808715.0,-1625139.0
Chi phí nhân viên,Dự phòng (hoàn nhập dự phòng) > Chi phí nhân viên,Chi phí nhân viên,32.334.663,84.876.847,32334663.0,84876847.0
Chi phí dịch vụ mua ngoài,Dự phòng (hoàn nhập dự phòng) > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,17.408.468,25.515.938,17408468.0,25515938.0
Chi phí khấu hao và hao mòn,Dự phòng (hoàn nhập dự phòng) > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,4.603.997,9.135.523,4603997.0,9135523.0
Phân bổ lợi thế thương mại,Dự phòng (hoàn nhập dự phòng) > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,-,63.764.604,,63764604.0
Khác,Dự phòng (hoàn nhập dự phòng) > Khác,Khác,28.551.523,30.862.455,28551523.0,30862455.0
TỔNG CỘNG,Dự phòng (hoàn nhập dự phòng) > TỔNG CỘNG,TỔNG CỘNG,310.204.065,502.634.890,310204065.0,502634890.0
