row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ)/lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Dự phòng Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay và phân bổ chi phí phát hành trái phiếu,"Thuyết minh > 10, 11",Năm nay > (1.298.802.530)465.227.14249.635.519232.851.893(75.244.482)306.886.037,Năm trước > 48.373.670744.671.59151.213.36024.800.325(929.781.033)555.764.374,numeric__CHỈ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH (Lỗ)/lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao mòn Dự phòng Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay và phân bổ chi phí phát hành trái phiếu,"numeric__Thuyết minh > 10, 11",numeric__Năm nay > (1.298.802.530)465.227.14249.635.519232.851.893(75.244.482)306.886.037,numeric__Năm trước > 48.373.670744.671.59151.213.36024.800.325(929.781.033)555.764.374
08,08,08,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
09,09,09,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
10,10,10,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
11,11,11,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
12,12,12,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
14,14,14,(Lỗ)/lãi từ hoạt động kinh doanh trước thay đổi vốn lưu động Tăng các khoản phải thu Giảm/(tăng) hàng tồn kho (Giảm)/tăng các khoản phải trả Tăng chi phí trả trước Tiền lãi vay đã trả,(319.446.421)(208.781.973)158.561.354(740.118.470)(14.921.163)(461.361.853),(319.446.421),495.042.287(367.759.715)(392.849.362)795.280.538(95.354.692)(460.404.156),,,-319446421.0,
20,20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,(1.586.068.526),(26.045.100),,,-1586068526.0,-26045100.0,
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ Tiền chỉ để mua sắm và xây dựng TSCĐ,(472.907.178)5.385.978601.976.054-,(2.152.788.702)7.528.143-,,,,,
21,21,21,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ Tiền chỉ để mua sắm và xây dựng TSCĐ,(472.907.178)5.385.978601.976.054-,(2.152.788.702)7.528.143-,,,,,
22,22,22,Tiền thu do thanh lý TSCĐ,(472.907.178)5.385.978601.976.054-,(2.152.788.702)7.528.143-,,,,,
24,24,24,Thu hồi cho vay,(472.907.178)5.385.978601.976.054-,(2.152.788.702)7.528.143-,,,,,
25,24 > 25,25,Tiền mua cổ phần công ty con các công ty con Lãi tiền gửi và lãi cho vay,2.651.644.98817.261.979,(443.995.159)-,,,2.6516449881726198e+17,,
26,24 > 26,26,Tiền mua cổ phần công ty con các công ty con Lãi tiền gửi và lãi cho vay,2.651.644.98817.261.979,(443.995.159)-,,,2.6516449881726198e+17,,
27,24 > 27,27,Tiền mua cổ phần công ty con các công ty con Lãi tiền gửi và lãi cho vay,2.651.644.98817.261.979,(443.995.159)-,,,2.6516449881726198e+17,,
30,24 > 30,30,Lưu chuyển tiền thuần từ/(sử dụng vào hoạt động đầu tư,2.803.361.821,(2.589.108.281),,,2803361821.0,-2589108281.0,
