row_label_raw,row_label_full,TỔNG CỘNG,1.237.192.230,numeric__1.237.192.230
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,913.959.188,913959188.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,323.233.042,323233042.0
