row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.316.021.319,45.383.695,13.506.966,2.374.911.980,2316021319.0,45383695.0,13506966.0,2374911980.0
Chỉ phí hình thành tài sản cố định,Chỉ phí hình thành tài sản cố định,Chỉ phí hình thành tài sản cố định,68.755.248,620.537.896,914.742.077,1.604.035.221,68755248.0,620537896.0,914742077.0,1604035221.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,1.955.911.047,14.941.386.749,7.451.008.968,24.348.306.764,1955911047.0,14941386749.0,7451008968.0,24348306764.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,321.560.075,-,-,321.560.075,321560075.0,,,321560075.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,24.669.866.839,,,,24669866839.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.107.835.578,52.392.357,38.706.937,1.198.934.872,1107835578.0,52392357.0,38706937.0,1198934872.0
Chỉ phí hình thành tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 > Chỉ phí hình thành tài sản cố định,Chỉ phí hình thành tài sản cố định,-,440.645.494,44.230.821,484.876.315,,440645494.0,44230821.0,484876315.0
Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,Vào ngày 31 tháng 12 năm 2021,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,497.700.840,10.492.143.708,2.707.168.442,13.697.012.990,497700840.0,10492143708.0,2707168442.0,13697012990.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,320.033.419,-,-,320.033.419,320033419.0,,,320033419.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,14.017.046.409,,,,14017046409.0
