row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải, truyền dẫn",Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Thiết bịvăn phòng,Tài sân khác,Ngàn VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải, truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Thiết bịvăn phòng,numeric__Tài sân khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,7.853.140.784,1.912.395.347,1.533.727.584,467.009.911,4.300.328,23.087.364,11.793.661.318,7853140784.0,1912395347.0,1533727584.0,467009911.0,4300328.0,23087364.0,11793661318.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,291.854.345,106.301.957,27.426.585,-,-,754.426,426.337.313,291854345.0,106301957.0,27426585.0,,,754426.0,426337313.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,9.255.813,33.001,49.510.881,848.076,-,59.647.771,,9255813.0,33001.0,49510881.0,848076.0,,59647771.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(1.594.466.470),(839.277.521),(467.155.770),(335.702.444),(1.978.828),(13.808.653),(3.252.389.686),-1594466470.0,-839277521.0,-467155770.0,-335702444.0,-1978828.0,-13808653.0,-3252389686.0
Thanh lý và xóa số trong năm,Nguyên giá > Thanh lý và xóa số trong năm,Thanh lý và xóa số trong năm,(104.044.531),(33.149.928),(47.768.712),(41.770.733),(39.500),-,(226.773.404),-104044531.0,-33149928.0,-47768712.0,-41770733.0,-39500.0,,-226773404.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(757.587.688),(142.492.344),(128.956.834),(28.569.375),(8.402),(811.182),(1.058.425.825),-757587688.0,-142492344.0,-128956834.0,-28569375.0,-8402.0,-811182.0,-1058425825.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(18.363.782),(5.200.722),22.844.288,(50.500),770.716,-,,-18363782.0,-5200722.0,22844288.0,-50500.0,770716.0,
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,5.688.896.440,994.669.542,912.105.132,133.322.528,3.071.174,9.992.671,7.742.057.487,5688896440.0,994669542.0,912105132.0,133322528.0,3071174.0,9992671.0,7742057487.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,842.916.693,711.930.290,7.347.257,349.286,-,1.562.543.526,,842916693.0,711930290.0,7347257.0,349286.0,,1562543526.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(1.073.587.209),(667.086.365),(373.445.125),(244.829.402),(2.093.752),(8.736.840),(2.369.778.693),-1073587209.0,-667086365.0,-373445125.0,-244829402.0,-2093752.0,-8736840.0,-2369778693.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(324.482.485),(68.033.343),(49.405.758),(21.463.212),(553.689),(541.155),(464.479.642),-324482485.0,-68033343.0,-49405758.0,-21463212.0,-553689.0,-541155.0,-464479642.0
Thanh lý công ty con,Khấu hao lũy kế > Thanh lý công ty con,Thanh lý công ty con,184.468.991,250.498.849,98.241.478,120.297.853,186.662,4.407.698,658.101.531,184468991.0,250498849.0,98241478.0,120297853.0,186662.0,4407698.0,658101531.0
Thanh lý và xóa số trong năm,Khấu hao lũy kế > Thanh lý và xóa số trong năm,Thanh lý và xóa số trong năm,30.569.996,22.601.228,10.513.890,13.032.409,8.558,-,76.726.081,30569996.0,22601228.0,10513890.0,13032409.0,8558.0,,76726081.0
Chênh lệch tỷ giá,Khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,123.632.660,52.038.772,38.876.981,14.959.589,7.978,549.428,230.065.408,123632660.0,52038772.0,38876981.0,14959589.0,7978.0,549428.0,230065408.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(4.793.434),8.812.202,(2.435.260),5.727,(1.490.280),98.955,,-4793434.0,8812202.0,-2435260.0,5727.0,-1490280.0,98955.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(1.059.398.047),(414.774.293),(266.406.332),(120.438.023),(2.438.516),(5.811.149),(1.869.266.360),-1059398047.0,-414774293.0,-266406332.0,-120438023.0,-2438516.0,-5811149.0,-1869266360.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.779.553.575,1.245.308.982,1.160.282.459,222.180.509,2.206.576,14.350.524,9.423.882.625,6779553575.0,1245308982.0,1160282459.0,222180509.0,2206576.0,14350524.0,9423882625.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,4.629.498.393,579.895.249,645.698.800,12.884.505,632.658,4.181.522,5.872.791.127,4629498393.0,579895249.0,645698800.0,12884505.0,632658.0,4181522.0,5872791127.0
Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),4.629.498.393,579.895.249,645.698.800,12.884.505,-,4.181.522,5.872.158.469,4629498393.0,579895249.0,645698800.0,12884505.0,,4181522.0,5872158469.0
