row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
HA Andong Meas,Phải thu ngắn hạn khác (TM số 8) > HA Andong Meas,HA Andong Meas,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,208.518.737,-,,,208518737.0,
HA Lymphat,Phải thu ngắn hạn khác (TM số 8) > HA Lymphat,HA Lymphat,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,41.435.629,44.345.918,,,41435629.0,44345918.0
Bình Phước Kratie,Phải thu ngắn hạn khác (TM số 8) > Bình Phước Kratie,Bình Phước Kratie,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,15.888.212,5.590.090,,,15888212.0,5590090.0
Daun Penh,Phải thu ngắn hạn khác (TM số 8) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn vật tư,5.159.209,7.821.420,,,5159209.0,7821420.0
An Đông Mia,Phải thu ngắn hạn khác (TM số 8) > An Đông Mia,An Đông Mia,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,2.747.095,,,,2747095.0
THAGRICO,Phải thu ngắn hạn khác (TM số 8) > THAGRICO,THAGRICO,Công ty con của công ty có cùng thành viên HĐQT,Thu hộ,-,42.019.487,,,,42019487.0
Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Đại Thắng,Đại Thắng,Công ty con của công ty có cùng thành viên HĐQT,Cho mượn,-,27.178.483,,,,27178483.0
HAG,Phải thu ngắn hạn khác (TM số 8) > HAG,HAG,Cổ đông lớn,Cấn trừ công nợ,-,12.128.682,,,,12128682.0
Khác,Phải thu ngắn hạn khác (TM số 8) > Khác,Khác,Các bên liên quan,Khác,2.676.053,-,,,2676053.0,
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,273.677.840,141.831.175,,,273677840.0,141831175.0
Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),Phải thu dài hạn khác (TM số 8),,,,
Bò sữa Tây Nguyên,Phải thu dài hạn khác (TM số 8) > Bò sữa Tây Nguyên,Bò sữa Tây Nguyên,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,239.007,-,,,239007.0,
An Đông Mia,Phải thu dài hạn khác (TM số 8) > An Đông Mia,An Đông Mia,Công ty con của công ty có cùng thành viên HĐQT,Lãi cho vay,-,5.142.322,,,,5142322.0
TỔNG CỘNG,Phải thu dài hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,239.007,5.142.322,,,239007.0,5142322.0
