row_label_raw,row_label_full,col_0,Ngàn VNDBò sữaTây Nguyên,numeric__Ngàn VNDBò sữaTây Nguyên
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,72.228.357,72228357.0
Thanh lý công ty,Nguyên giá > Thanh lý công ty,Thanh lý công ty,(72.228.357),-72228357.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,
Số đầu năm,Phân bổ lũy kế > Số đầu năm,Số đầu năm,(40.929.404),-40929404.0
Thanh lý công ty,Phân bổ lũy kế > Thanh lý công ty,Thanh lý công ty,40.929.404,40929404.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,31.298.953,31298953.0
Số cuối năm,Số cuối năm,Số cuối năm,-,
