row_label_raw,row_label_full,Ông Trần Bá Dương > Ông Đoàn Nguyên Đức > Ông Trần Bảo Sơn,Chủ tịch > Phó Chủ tịch > Thành viên,bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 8 tháng 1 năm 2021,numeric__Chủ tịch > Phó Chủ tịch > Thành viên,numeric__bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021 > bổ nhiệm ngày 8 tháng 1 năm 2021
Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Thành viên,,,
Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên,,,
Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Phó Chủ tịch,miễn nhiệm ngày 8 tháng 1 năm 2021,,
Ông Võ Trường Sơn,Ông Võ Trường Sơn,Ông Võ Trường Sơn,Thành viên,miễn nhiệm ngày 8 tháng 1 năm 2021,,
Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Thành viên,miễn nhiệm ngày 8 tháng 1 năm 2021,,
