row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệUSD,Thời hạn thanh toán,Lãi suất%/năm,"Tài sản thế chấp(TM số 9, 10 và 12)",numeric__Số cuối nămNgàn VND,numeric__Nguyên tệUSD,numeric__Thời hạn thanh toán,numeric__Lãi suất%/năm,"numeric__Tài sản thế chấp(TM số 9, 10 và 12)"
"LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)","LaoVietBank, Chi nhánh Attapeu (tiếp theo)",,,,,
Khoản vay 3 (iii),"LaoVietBank, Chi nhánh Attapeu (tiếp theo) > Khoản vay 3 (iii)",Khoản vay 3 (iii),163.173.924,7.280.000,Từ ngày 25 tháng 7 năm 2021 đến ngày 3 tháng 10 năm 2024,"9,00 - 10,00","Quyền sử dụng đất với tổng diện tích 1.313,89 ha và khai thác 749,5 ha cây ăn trái (Theo hợp đồng Tín dụng số 024/HĐ.TC 12020 kí ngày 1 tháng 6 năm 2020)",163173924.0,7280000.0,,,
Khoản vay 4 (iv),"LaoVietBank, Chi nhánh Attapeu (tiếp theo) > Khoản vay 4 (iv)",Khoản vay 4 (iv),27.233.010,1.215.000,Từ ngày 25 tháng 5 năm 2020 đến ngày 25 tháng 11 năm 2020,"9,00 - 10,00",- Tất cả các dụng cụ xây dựng và vật tư máy móc phục vụ cho dự án xây dựng nhà máy chế biến cọ đầu phát sinh sau khi bổ vốn đầu tư thuộc sở hữu của HA Attapeu.,27233010.0,1215000.0,,,
TỔNG CỘNG,"LaoVietBank, Chi nhánh Attapeu (tiếp theo) > TỔNG CỘNG",TỔNG CỘNG,690.338.457,,,,,690338457.0,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,259.820.654,,,,,259820654.0,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,430.517.803,,,,,430517803.0,,,,
