row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),,,,
THAGRICO,Phải trả người bán ngắn hạn (TM số 17) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua vật tư và dịch vụ,205.532.754,400.282.633,,,205532754.0,400282633.0
Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 17) > Thaco Chu Lai,Thaco Chu Lai,Công ty con của công ty có cùng thành viên HĐQT,Mua hàng hóa,73.889.700,38.514.349,,,73889700.0,38514349.0
THILOGI,Phải trả người bán ngắn hạn (TM số 17) > THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Mua dịch vụ,8.717.584,101.795.239,,,8717584.0,101795239.0
Vận tải Chu Lai - Trường Hải,Phải trả người bán ngắn hạn (TM số 17) > Vận tải Chu Lai - Trường Hải,Vận tải Chu Lai - Trường Hải,Công ty con của công ty có cùng thành viên HĐQT,Mua dịch vụ,4.695.790,12.883.193,,,4695790.0,12883193.0
HAG,Phải trả người bán ngắn hạn (TM số 17) > HAG,HAG,Cổ đông lớn,Mua vật tư và dịch vụ,-,69.536.424,,,,69536424.0
Công ty TNHH Thương mại Đầu tư Phát triển Đỗ Holdings,Phải trả người bán ngắn hạn (TM số 17) > Công ty TNHH Thương mại Đầu tư Phát triển Đỗ Holdings,Công ty TNHH Thương mại Đầu tư Phát triển Đỗ Holdings,Công ty con của công ty có cùng thành viên HĐQT,Mua vật tư,-,28.686.188,,,,28686188.0
Khác,Phải trả người bán ngắn hạn (TM số 17) > Khác,Khác,Các bên liên quan,Mua hàng hóa và dịch vụ,5.021.050,7.763.774,,,5021050.0,7763774.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 17) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,297.856.878,659.461.800,,,297856878.0,659461800.0
Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),,,,
THAGRICO,Người mua trả tiền trước ngắn hạn (TM số 18) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Ứng tiền mua trái cây,71.857.177,224.230.098,,,71857177.0,224230098.0
Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),,,,
THAGRICO,Chi phí phải trả ngắn hạn (TM số 20) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,14.530.014,195.589.383,,,14530014.0,195589383.0
THILOGI,Chi phí phải trả ngắn hạn (TM số 20) > THILOGI,THILOGI,Công ty có cùng thành viên HĐQT,Mua dịch vụ,954.542,1.694.572,,,954542.0,1694572.0
Hưng Thắng Lợi Gia Lai,Chi phí phải trả ngắn hạn (TM số 20) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Lãi vay,-,179.375,,,,179375.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.484.556,197.463.330,,,15484556.0,197463330.0
