row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Chi phí sản xuất kinh doanh dở dang Trong đó:,Chi phí sản xuất kinh doanh dở dang Trong đó:,Chi phí sản xuất kinh doanh dở dang Trong đó:,1.202.159.353,1.959.035.351,1202159353.0,1959035351.0
Hợp đồng xây dựng (i) (*),Hợp đồng xây dựng (i) (*),Hợp đồng xây dựng (i) (*),750.115.168,873.761.998,750115168.0,873761998.0
"Hoạt động sản xuất, trồng trọt (ii)","Hoạt động sản xuất, trồng trọt (ii)","Hoạt động sản xuất, trồng trọt (ii)",452.044.185,1.085.273.353,452044185.0,1085273353.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,267.513.760,229.948.940,267513760.0,229948940.0
Thành phẩm,Thành phẩm,Thành phẩm,41.500.177,60.002.761,41500177.0,60002761.0
Hàng hóa,Hàng hóa,Hàng hóa,25.069.800,42.343.191,25069800.0,42343191.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",22.696.785,7.613.583,22696785.0,7613583.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.558.939.875,2.298.943.826,1558939875.0,2298943826.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(2.325.394),(75.146.986),-2325394.0,-75146986.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,1.556.614.481,2.223.796.840,1556614481.0,2223796840.0
