row_label_raw,row_label_full,col_0,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất_1,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Băng cân đối kế toán hợp nhất,numeric__Băng cân đối kế toán hợp nhất_1,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Ngàn VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế TNDN hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,52.142.697,54.424.131,(2.281.434),4.834.401,52142697.0,54424131.0,-2281434.0,4834401.0
Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Tài sản thuế TNDN hoãn lại > Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,Chênh lệch lãi vay nội bộ ở khía cạnh hợp nhất,61.943.176,-,61.943.176,-,61943176.0,,61943176.0,
TỔNG CỘNG,Tài sản thuế TNDN hoãn lại > TỔNG CỘNG,TỔNG CỘNG,114.085.873,54.424.131,59.661.742,4.834.401,114085873.0,54424131.0,59661742.0,4834401.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,
Dự phòng khoản đầu tư vào công ty con,Thuế TNDN hoãn lại phải trả > Dự phòng khoản đầu tư vào công ty con,Dự phòng khoản đầu tư vào công ty con,(20.000.000),(141.070.733),121.070.733,(30.809.890),-20000000.0,-141070733.0,121070733.0,-30809890.0
Thu nhập/(chi phí) thuế TNDN hoãn lại,Thuế TNDN hoãn lại phải trả > Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,Thu nhập/(chi phí) thuế TNDN hoãn lại,180.732.475,(25.975.489),,,180732475.0,-25975489.0
