row_label_raw,row_label_full,Tên,Chức vụ,Ngàn VND,Ngàn VND_1,numeric__Chức vụ,numeric__Ngàn VND,numeric__Ngàn VND_1
Tên,Tên,Tên,Chức vụ,Thu nhập,Thu nhập,,,
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
HĐQT và Ban Tổng Giám đốc,HĐQT và Ban Tổng Giám đốc,HĐQT và Ban Tổng Giám đốc,HĐQT và Ban Tổng Giám đốc,HĐQT và Ban Tổng Giám đốc,HĐQT và Ban Tổng Giám đốc,,,
Ông Trần Bá Dương,HĐQT và Ban Tổng Giám đốc > Ông Trần Bá Dương,Ông Trần Bá Dương,Chủ tịch từ ngày 8 tháng 1 năm 2021,156.000,-,,156000.0,
Ông Đoàn Nguyên Đức,HĐQT và Ban Tổng Giám đốc > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Phó Chủ tịch từ ngày 8 tháng 1 năm 2021,144.000,156.000,,144000.0,156000.0
Ông Đỗ Xuân Diện,HĐQT và Ban Tổng Giám đốc > Ông Đỗ Xuân Diện,Ông Đỗ Xuân Diện,Phó Chủ tịch đến ngày 8 tháng 1 năm 2021,-,144.000,,,144000.0
Ông Trần Bảo Sơn,HĐQT và Ban Tổng Giám đốc > Ông Trần Bảo Sơn,Ông Trần Bảo Sơn,Thành viên/Tổng Giám đốc từ ngày 18 tháng 3 năm 2021,120.000,60.000,,120000.0,60000.0
Ông Nguyễn Hoàng Phi,HĐQT và Ban Tổng Giám đốc > Ông Nguyễn Hoàng Phi,Ông Nguyễn Hoàng Phi,Thành viên/Phó Tổng Giám Đốc,120.000,60.000,,120000.0,60000.0
Bà Võ Thị Mỹ Hạnh,HĐQT và Ban Tổng Giám đốc > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Thành viên/Tổng Giám đốc cho đến ngày 18 tháng 3 năm 2021,120.000,1.704.000,,120000.0,1704000.0
Ông Nguyễn Quan Anh,HĐQT và Ban Tổng Giám đốc > Ông Nguyễn Quan Anh,Ông Nguyễn Quan Anh,Thành viên cho đến ngày 8 tháng 1 năm 2021,-,677.856,,,677856.0
Ông Võ Trường Sơn,HĐQT và Ban Tổng Giám đốc > Ông Võ Trường Sơn,Ông Võ Trường Sơn,Thành viên cho đến ngày 8 tháng 1 năm 2021,-,120.000,,,120000.0
Bà Võ Thị Huyền Lan,HĐQT và Ban Tổng Giám đốc > Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên cho đến ngày 26 tháng 6 năm 2020,-,60.000,,,60000.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,,
Ông Bùi Minh Khoa,Ban Kiểm soát > Ông Bùi Minh Khoa,Ông Bùi Minh Khoa,Trường ban từ ngày 8 tháng 1 năm 2021,96.000,-,,96000.0,
Ông Đăng Công Trực,Ban Kiểm soát > Ông Đăng Công Trực,Ông Đăng Công Trực,Thành viên,72.000,72.000,,72000.0,72000.0
Bà Lê Thùy Dương,Ban Kiểm soát > Bà Lê Thùy Dương,Bà Lê Thùy Dương,Thành viên,72.000,316.000,,72000.0,316000.0
Ông Lê Hồng Phong,Ban Kiểm soát > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Trường ban cho đến ngày 8 tháng 1 năm 2021,-,48.000,,,48000.0
Ông Nguyễn Đức Quang,Ban Kiểm soát > Ông Nguyễn Đức Quang,Ông Nguyễn Đức Quang,Trường ban cho đến ngày 8 tháng 1 năm 2021,-,48.000,,,48000.0
Ông Phạm Ngọc Châu,Ban Kiểm soát > Ông Phạm Ngọc Châu,Ông Phạm Ngọc Châu,Thành viên cho đến ngày 8 tháng 1 năm 2021,-,36.000,,,36000.0
TỔNG CỘNG,Ban Kiểm soát > TỔNG CỘNG,TỔNG CỘNG,,900.000,3.501.856,,900000.0,3501856.0
