row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,5.429.425,111.300.769,5429425.0,111300769.0
Nhận hỗ trợ tài chính,Nhận hỗ trợ tài chính,Nhận hỗ trợ tài chính,-,61.207.461,,61207461.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,-,718.717,,718717.0
Khác,Khác,Khác,5.429.425,49.374.591,5429425.0,49374591.0
Chi phí khác,Chi phí khác,Chi phí khác,128.937.488,167.243.598,128937488.0,167243598.0
Chi phí xóa sổ tài sản không hiệu quả,Chi phí xóa sổ tài sản không hiệu quả,Chi phí xóa sổ tài sản không hiệu quả,97.063.447,50.243.526,97063447.0,50243526.0
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,14.542.048,42.254.224,14542048.0,42254224.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,3.639,18.398.181,3639.0,18398181.0
Khác,Khác,Khác,17.328.354,56.347.667,17328354.0,56347667.0
Lỗ KHÁC,Lỗ KHÁC,Lỗ KHÁC,(123.508.063),(55.942.829),-123508063.0,-55942829.0
