row_label_raw,row_label_full,Bên cho vay > HAG > THAGRICO,Số cuối năm Ngàn VND > 2.093.138.845 > 457.052.500,Thời hạn thanh toán > Từ ngày 30 tháng 6 năm 2022 đến ngày 31 tháng 12 năm 2023 > Từ ngày 10 tháng 11 năm 2023 đến ngày 29 tháng 12 năm 2023,"Lãi suất %/năm > 0,00 > 10,50",numeric__Số cuối năm Ngàn VND > 2.093.138.845 > 457.052.500,numeric__Thời hạn thanh toán > Từ ngày 30 tháng 6 năm 2022 đến ngày 31 tháng 12 năm 2023 > Từ ngày 10 tháng 11 năm 2023 đến ngày 29 tháng 12 năm 2023,"numeric__Lãi suất %/năm > 0,00 > 10,50"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.550.191.345,,,2550191345.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.198.406.351,,,1198406351.0,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.351.784.994,,,1351784994.0,,
