row_label_raw,row_label_full,Ông Bùi Minh Khoa > Ông Lê Hồng Phong,Trường ban,bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021,numeric__Trường ban,numeric__bổ nhiệm ngày 8 tháng 1 năm 2021 > miễn nhiệm ngày 8 tháng 1 năm 2021
Bà Lê Thủy Dương,Bà Lê Thủy Dương,Bà Lê Thủy Dương,Thành viên,,,
Ông Đặng Công Trực,Ông Đặng Công Trực,Ông Đặng Công Trực,Thành viên,,,
