row_label_raw,row_label_full,THAGRICO,Công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,39.013.212,-,numeric__Công ty có cùng thành viên HĐQT,numeric__Tạm ứng mua hàng hóa,numeric__39.013.212,numeric__-
"Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (""Đại Thắng"")","Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (""Đại Thắng"")","Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (""Đại Thắng"")",Công ty con của công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,5.434.295,,,,5434295.0
Chăn nuôi Gia Lai,Chăn nuôi Gia Lai,Chăn nuôi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,2.299.803,,,,2299803.0
Khác,Khác,Khác,Bên liên quan,Tạm ứng mua hàng hóa,399.009,896.863,,,399009.0,896863.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,,,39.412.221,8.630.961,,,39412221.0,8630961.0
