row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Thanh lý công ty con,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Thanh lý công ty con,numeric__Ngàn VND Số cuối năm
Phải thu:,Phải thu:,Phải thu:,Phải thu:,Phải thu:,Phải thu:,Phải thu:,Phải thu:,,,,,
Thuế giá trị gia tăng được khấu trừ,Phải thu: > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,57.122.739,50.587.535,(36.362.249),(1.335.929),70.012.096,57122739.0,50587535.0,-36362249.0,-1335929.0,70012096.0
Thuế TNDN (TM số 30.1),Phải thu: > Thuế TNDN (TM số 30.1),Thuế TNDN (TM số 30.1),285.831,-,-,-,285.831,285831.0,,,,285831.0
Thuế khác,Phải thu: > Thuế khác,Thuế khác,557,11.786.638,(11.786.638),-,557,557.0,11786638.0,-11786638.0,,557.0
TỔNG CỘNG,Phải thu: > TỔNG CỘNG,TỔNG CỘNG,57.409.127,62.374.173,(48.148.887),(1.335.929),70.298.484,57409127.0,62374173.0,-48148887.0,-1335929.0,70298484.0
