row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu và biểu quyết (%),numeric__Lĩnh vực kinh doanh,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu và biểu quyết (%)
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
"(1) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh (""HAQM Lào"")","Công ty con > (1) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh (""HAQM Lào"")","(1) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh (""HAQM Lào"")",Nông nghiệp,"Sekong, Lào",Đang hoạt động,100,,,,100.0
"(2) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HA Attapeu"")","Công ty con > (2) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HA Attapeu"")","(2) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HA Attapeu"")",Nông nghiệp và xây dựng,"Attapeu, Lào",Đang hoạt động,100,,,,100.0
"(3) Công ty TNHH Hoàng Anh Rattanakiri (""HA Rattanakiri"")","Công ty con > (3) Công ty TNHH Hoàng Anh Rattanakiri (""HA Rattanakiri"")","(3) Công ty TNHH Hoàng Anh Rattanakiri (""HA Rattanakiri"")",Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,100,,,,100.0
"(4) Công ty TNHH Heng Brothers (""Heng Brothers"")","Công ty con > (4) Công ty TNHH Heng Brothers (""Heng Brothers"")","(4) Công ty TNHH Heng Brothers (""Heng Brothers"")",Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,100,,,,100.0
"(5) Công ty TNHH MTV Hoàng Anh Oyadav (""HA Oyadav"")","Công ty con > (5) Công ty TNHH MTV Hoàng Anh Oyadav (""HA Oyadav"")","(5) Công ty TNHH MTV Hoàng Anh Oyadav (""HA Oyadav"")",Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,100,,,,100.0
"(6) Công ty TNHH CRD (""CRD"")","Công ty con > (6) Công ty TNHH CRD (""CRD"")","(6) Công ty TNHH CRD (""CRD"")",Nông nghiệp,"Ratanakiri, Campuchia",Đang hoạt động,100,,,,100.0
"(7) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai (""XNK HAGL"")","Công ty con > (7) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai (""XNK HAGL"")","(7) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai (""XNK HAGL"")",Thương mại,"Gia Lai, Việt Nam",Đang hoạt động,100,,,,100.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
"(1) Công ty Cổ phần Cao su Bidiphar (""Bidiphar"")","Công ty liên kết > (1) Công ty Cổ phần Cao su Bidiphar (""Bidiphar"")","(1) Công ty Cổ phần Cao su Bidiphar (""Bidiphar"")",,"Bình Định, Việt Nam",Đang hoạt động,"49,14",,,,49.14
