row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),,,,
HAG,Chi phí phải trả dài hạn (TM số 20) > HAG,HAG,Cổ đông lớn,Lãi vay,9.904.447,9.969.504,,,9904447.0,9969504.0
THAGRICO,Chi phí phải trả dài hạn (TM số 20) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,3.278.882,-,,,3278882.0,
TỔNG CỘNG,Chi phí phải trả dài hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,,13.183.329,9.969.504,,,13183329.0,9969504.0
Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),,,,
THAGRICO,Phải trả ngắn hạn khác (TM số 21) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ,136.776.895,714.576.687,,,136776895.0,714576687.0
HA Lymphat,Phải trả ngắn hạn khác (TM số 21) > HA Lymphat,HA Lymphat,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,917.484,158.217.665,,,917484.0,158217665.0
Daun Penh,Phải trả ngắn hạn khác (TM số 21) > Daun Penh,Daun Penh,Công ty con của công ty có cùng thành viên HĐQT,Mượn vật tư,349.498,11.695.355,,,349498.0,11695355.0
HAG,Phải trả ngắn hạn khác (TM số 21) > HAG,HAG,Cổ đông lớn,Cán trừ công nợ,-,24.605.550,,,,24605550.0
Hưng Thắng Lợi Gia Lai,Phải trả ngắn hạn khác (TM số 21) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty con của công ty có cùng thành viên HĐQT,Mượn tiền,-,14.647.777,,,,14647777.0
Khác,Phải trả ngắn hạn khác (TM số 21) > Khác,Khác,Các bên liên quan,Khác,5.721.943,2.372.135,,,5721943.0,2372135.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,143.765.820,926.115.169,,,143765820.0,926115169.0
Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),,,,
HAG,Phải trả dài hạn khác (TM số 21) > HAG,HAG,Cổ đông lớn,Mượn tiền,17.087.335,16.655.807,,,17087335.0,16655807.0
THAGRICO,Phải trả dài hạn khác (TM số 21) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Khác,1.799.214,-,,,1799214.0,
TỔNG CỘNG,Phải trả dài hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,18.886.549,16.655.807,,,18886549.0,16655807.0
Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),Vay ngắn hạn (TM số 22.2 và TM số 22.3),,,,
HAG,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > HAG,HAG,Cổ đông lớn,Vay,1.351.784.994,35.485.456,,,1351784994.0,35485456.0
THAGRICO,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,41.823.963,5.122.729.860,,,41823963.0,5122729860.0
TỔNG CỘNG,Vay ngắn hạn (TM số 22.2 và TM số 22.3) > TỔNG CỘNG,TỔNG CỘNG,,,1.393.608.957,5.158.215.316,,,1393608957.0,5158215316.0
Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),Vay dài hạn (TM số 22.3),,,,
HAG,Vay dài hạn (TM số 22.3) > HAG,HAG,Cổ đông lớn,Vay,741.353.851,2.103.224.847,,,741353851.0,2103224847.0
THAGRICO,Vay dài hạn (TM số 22.3) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,457.052.500,-,,,457052500.0,
TỔNG CỘNG,Vay dài hạn (TM số 22.3) > TỔNG CỘNG,TỔNG CỘNG,,,1.198.406.351,2.103.224.847,,,1198406351.0,2103224847.0
