row_label_raw,row_label_full,"Ngân hàng > Sacombank, Chi nhánh Sài Gòn (*)",Số cuối năm > Ngàn VND > 249.334.588,Thời hạn thanh toán > Từ ngày 24 tháng 12 năm 2022 đến ngày 24 tháng 12 năm 2026,"Lãi suất %/năm > Lãi suất tiết kiệm của Sacombank hạn 13 tháng lãi trả sau + 2,00%/năm được điều chỉnh 3 tháng/lần (2021: 8,95%)","Tài sản thế chấp (TM số 9, 10 và 12) > 23,2 triệu cổ phiếu HAG sở hữu bởi Ông Đoàn Nguyên Đức và 14,5 triệu cổ phiếu HAQM Việt Nam sở hữu bởi THAGRICO.",numeric__Số cuối năm > Ngàn VND > 249.334.588,numeric__Thời hạn thanh toán > Từ ngày 24 tháng 12 năm 2022 đến ngày 24 tháng 12 năm 2026,"numeric__Lãi suất %/năm > Lãi suất tiết kiệm của Sacombank hạn 13 tháng lãi trả sau + 2,00%/năm được điều chỉnh 3 tháng/lần (2021: 8,95%)","numeric__Tài sản thế chấp (TM số 9, 10 và 12) > 23,2 triệu cổ phiếu HAG sở hữu bởi Ông Đoàn Nguyên Đức và 14,5 triệu cổ phiếu HAQM Việt Nam sở hữu bởi THAGRICO."
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,223.084.588,,,,223084588.0,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,26.250.000,,,,26250000.0,,,
