row_label_raw,row_label_full,Ngân hàng,Số cuối nămNgàn VND,Nguyên tệ > Ngàn LAK,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất %/năm,"Tài sản thế chấp(TM số 9, 10 và 12)",numeric__Số cuối nămNgàn VND,numeric__Nguyên tệ > Ngàn LAK,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất %/năm,"numeric__Tài sản thế chấp(TM số 9, 10 và 12)"
"LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu","LaoVietBank, Chi nhánh Attapeu",,,,,,
Khoản vay 1 (i),"LaoVietBank, Chi nhánh Attapeu > Khoản vay 1 (i)",Khoản vay 1 (i),277.289.850,-,12.371.279,Từ ngày 25 tháng 2 năm 2020 đến ngày25 tháng 8 năm2022,"9,00","- Trụ sở làm việc của HA Attapeu tại Km 31,Bản Hatxan, Huyện Xaysettha, Tĩnh Attapeu,Lào theo bản đồ đất số 17 001 0008 vớidiện tích đất 0,3 ha;- Nhà máy chế biến mũ cao su tại HuyệnSaysettha, Tĩnh Attapeu, Lào và toàn bộ đànbò (14.219 con) nhập khẩu thuộc sở hữu củaHA Attapeu; và- Đàn bò nhập về thuộc sở hữu củaHA Attapeu.",277289850.0,,12371279.0,,9.0,
Khoản vay 2 (ii),"LaoVietBank, Chi nhánh Attapeu > Khoản vay 2 (ii)",Khoản vay 2 (ii),222.641.673,32.177.000,7.062.000,Từ ngày 25 tháng 9 năm 2021 đến ngày25 tháng 12 năm2026,"LAK: 10,50 - 12,75USD: 9,00 - 10,00","- Quyền sử dụng và khai thác 4.733,01 hacao su và 3.155,79 ha cọ đầu và toàn bộ cáccông trình bổ trợ tại tỉnh Attapeu, Lào thuộc sở hữu của HA Attapeu.",222641673.0,32177000.0,7062000.0,,,
