row_label_raw,row_label_full,Chỉ tiêu,BCTC năm 2021 đã kiểm toán,BCTC năm 2020 đã kiểm toán,Chênh lệch,numeric__BCTC năm 2021 đã kiểm toán,numeric__BCTC năm 2020 đã kiểm toán,numeric__Chênh lệch
Lỗ sau thuế trên BCTC tổng hợp,Lỗ sau thuế trên BCTC tổng hợp,Lỗ sau thuế trên BCTC tổng hợp,"(255,8)","(25,7)","(230,1)",-255.8,-25.7,-230.1
(Lỗ)/ lợi nhuận sau thuế trên BCTC hợp nhất,(Lỗ)/ lợi nhuận sau thuế trên BCTC hợp nhất,(Lỗ)/ lợi nhuận sau thuế trên BCTC hợp nhất,"(1.119,4)","20,8","(1.140,2)",-1119.4,20.8,-1140.2
