row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,303.656.427,189.076.058,303656427.0,189076058.0
Cho mượn các công ty,Cho mượn các công ty,Cho mượn các công ty,273.584.114,129.675.837,273584114.0,129675837.0
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,7.367.477,32.518.271,7367477.0,32518271.0
Lãi cho vay các công ty,Lãi cho vay các công ty,Lãi cho vay các công ty,-,2.747.095,,2747095.0
Khác,Khác,Khác,22.704.836,24.134.855,22704836.0,24134855.0
Dài hạn,Dài hạn,Dài hạn,450.117,6.645.834,450117.0,6645834.0
Lãi cho vay các công ty,Lãi cho vay các công ty,Lãi cho vay các công ty,239.006,5.142.322,239006.0,5142322.0
Ký quỹ dài hạn,Ký quỹ dài hạn,Ký quỹ dài hạn,211.111,412.913,211111.0,412913.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,-,1.090.599,,1090599.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,304.106.544,195.721.892,304106544.0,195721892.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),Phải thu từ các bên liên quan (TM số 31),,
- Ngắn hạn,Phải thu từ các bên liên quan (TM số 31) > - Ngắn hạn,- Ngắn hạn,273.677.840,141.831.175,273677840.0,141831175.0
- Dài hạn,Phải thu từ các bên liên quan (TM số 31) > - Dài hạn,- Dài hạn,239.007,5.142.322,239007.0,5142322.0
Phải thu từ các bên khác,Phải thu từ các bên liên quan (TM số 31) > Phải thu từ các bên khác,Phải thu từ các bên khác,30.189.697,48.748.395,30189697.0,48748395.0
