row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,141.272.728,-,,,141272728.0,
Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,141.272.728,=,,,141272728.0,
Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Công ty Cổ phần Du lịch Thanh Bình,Bên liên quan khác,Mua dịch vụ,383.075.008,172.345.456,,,383075008.0,172345456.0
Công ty Cổ phần In Thanh Niên,Công ty Cổ phần In Thanh Niên,Công ty Cổ phần In Thanh Niên,Bên liên quan khác,Mua dịch vụ,90.475.636,-,,,90475636.0,
Công ty Cổ phần In Thanh Niên,Công ty Cổ phần In Thanh Niên,Công ty Cổ phần In Thanh Niên,Bên liên quan khác,Mua dịch vụ,90.475.636,=,,,90475636.0,
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Bên liên quan khác,Mua dịch vụĐặt cọc thuê văn phòng,2.143.575.247,1.162.356.286,,,2143575247.0,1162356286.0
Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Bên liên quan khác,Mua dịch vụĐặt cọc thuê văn phòng,-,498.204.382,,,,498204382.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,34.360.818,-,,,34360818.0,
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Bên liên quan khác,Doanh thu bán hàng và cung cấp dịch vụ,34.360.818,=,,,34360818.0,
Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Bên liên quan khác,Mua dịch vụ,402.000.000,-,,,402000000.0,
Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Trường Cao đẳng Công nghệ và Quản trị Sonadezi,Bên liên quan khác,Mua dịch vụ,402.000.000,=,,,402000000.0,
"Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Thu nhập của các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",Lương và các quyền lợi gộp,9.208.026.820,6.834.555.437,,,9208026820.0,6834555437.0
