row_label_raw,row_label_full,Phải thu ngắn hạn khác (Thuyết minh 8(a)) (tiếp theo),Số cuối nămVND > Phải thu ngắn hạn khác (Thuyết minh 8(a)) (tiếp theo),Số đầu nămVND > Phải thu ngắn hạn khác (Thuyết minh 8(a)) (tiếp theo),numeric__Số cuối nămVND > Phải thu ngắn hạn khác (Thuyết minh 8(a)) (tiếp theo),numeric__Số đầu nămVND > Phải thu ngắn hạn khác (Thuyết minh 8(a)) (tiếp theo)
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Tổng Công ty Điện lực Miền Trung,Bên liên quan khác > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,1.915.611.499,-,1915611499.0,
Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Bên liên quan khác > Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm Bình An,-,327.222.222,,327222222.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan khác > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,55.340.680,5.072.222,55340680.0,5072222.0
Công ty Cổ phần Điện Gió Mê Kông,Bên liên quan khác > Công ty Cổ phần Điện Gió Mê Kông,Công ty Cổ phần Điện Gió Mê Kông,38.850.000,-,38850000.0,
Công ty Cổ phần Năng lượng TTC,Bên liên quan khác > Công ty Cổ phần Năng lượng TTC,Công ty Cổ phần Năng lượng TTC,33.440.000,278.840.248,33440000.0,278840248.0
Cá nhân khác,Bên liên quan khác > Cá nhân khác,Cá nhân khác,80.000.000,-,80000000.0,
Công ty Cổ phần Lộc Thổ,Bên liên quan khác > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,275.555.556,,275555556.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,207.648.611,,207648611.0
,,,14.662.005.168,38.615.816.455,14662005168.0,38615816455.0
