row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang tài sản cố định (Thuyết minh 11(a)) > Chuyển sang chi phí trả trước (Thuyết minh 10),Năm nay VND > 18.577.242.888 > 1.853.405.980.335 > (1.847.882.423.294) > (376.558.176),Năm trước VND > 5.786.192.113 > 22.189.621.208 > (4.207.684.577) > -,numeric__Năm nay VND > 18.577.242.888 > 1.853.405.980.335 > (1.847.882.423.294) > (376.558.176),numeric__Năm trước VND > 5.786.192.113 > 22.189.621.208 > (4.207.684.577) > -
Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2 (*),Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2 (*),Chuyển nhượng dự án điện mặt trời Bình Thuận - TTC Hàm Phú 2 (*),(8.231.853.000),-,-8231853000.0,
Xóa số dự án điện gió Bình Đại - Bến Tre,Xóa số dự án điện gió Bình Đại - Bến Tre,Xóa số dự án điện gió Bình Đại - Bến Tre,-,(4.527.889.874),,-4527889874.0
Xóa số dự án điện gió Ninh Thuận,Xóa số dự án điện gió Ninh Thuận,Xóa số dự án điện gió Ninh Thuận,-,(633.420.121),,-633420121.0
Khác,Khác,Khác,(305.511.850),(29.575.861),-305511850.0,-29575861.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,15.186.876.903,18.577.242.888,15186876903.0,18577242888.0
