row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,604.883.494.882,295.658.806.490,124.922.929.416,8.655.268.066,26.561.695.924,1.060.682.194.778,604883494882.0,295658806490.0,124922929416.0,8655268066.0,26561695924.0,1060682194778.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,640.822.369,883.034.600,-,1.653.044.937,562.636.363,3.739.538.269,640822369.0,883034600.0,,1653044937.0,562636363.0,3739538269.0
Xây dựng cơ bản mới hoànthành (Thuyết minh 12),Nguyên giá > Xây dựng cơ bản mới hoànthành (Thuyết minh 12),Xây dựng cơ bản mới hoànthành (Thuyết minh 12),101.134.361.230,1.574.739.302.084,667.785.764,25.544.152.954,145.796.821.262,1.847.882.423.294,101134361230.0,1574739302084.0,667785764.0,25544152954.0,145796821262.0,1847882423294.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,939.582.567,-,-,-,939.582.567,,939582567.0,,,,939582567.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(404.524.082),-,-,-,(404.524.082),,-404524082.0,,,,-404524082.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,706.658.678.481,1.871.816.201.659,125.590.715.180,35.852.465.957,172.921.153.549,2.912.839.214.826,706658678481.0,1871816201659.0,125590715180.0,35852465957.0,172921153549.0,2912839214826.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2018,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,153.553.172.172,100.667.280.633,45.790.086.355,2.560.835.825,5.712.523.974,308.283.898.959,153553172172.0,100667280633.0,45790086355.0,2560835825.0,5712523974.0,308283898959.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,26.392.582.886,26.113.191.351,7.401.644.665,1.926.454.943,2.997.828.320,64.831.702.165,26392582886.0,26113191351.0,7401644665.0,1926454943.0,2997828320.0,64831702165.0
Giảm khác,Hao mòn lũy kế > Giảm khác,Giảm khác,-,(92.705.550),-,-,-,(92.705.550),,-92705550.0,,,,-92705550.0
Tại ngày 31 tháng 12 năm 2018,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,179.945.755.058,126.687.766.434,53.191.731.020,4.487.290.768,8.710.352.294,373.022.895.574,179945755058.0,126687766434.0,53191731020.0,4487290768.0,8710352294.0,373022895574.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,451.330.322.710,194.991.525.857,79.132.843.061,6.094.432.241,20.849.171.950,752.398.295.819,451330322710.0,194991525857.0,79132843061.0,6094432241.0,20849171950.0,752398295819.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,526.712.923.423,1.745.128.435.225,72.398.984.160,31.365.175.189,164.210.801.255,2.539.816.319.252,526712923423.0,1745128435225.0,72398984160.0,31365175189.0,164210801255.0,2539816319252.0
