row_label_raw,row_label_full,Phải thu về cho vay ngắn hạn (Thuyết minh 7(a)),Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7(a)),Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7(a)),numeric__Số cuối năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7(a)),numeric__Số đầu năm VND > Phải thu về cho vay ngắn hạn (Thuyết minh 7(a))
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,,,,
Thượng Lộ,Công ty TNHH Một thành viên Thủy điện > Thượng Lộ,Thượng Lộ,-,1.934.000.000,,1934000000.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty Cổ phần Sản xuất Thương mại Tâm,Công ty Cổ phần Sản xuất Thương mại Tâm,Công ty Cổ phần Sản xuất Thương mại Tâm,,,,
Bình An,Công ty Cổ phần Sản xuất Thương mại Tâm > Bình An,Bình An,-,38.000.000.000,,38000000000.0
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Sản xuất Thương mại Tâm > Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,-,32.000.000.000,,32000000000.0
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Sản xuất Thương mại Tâm > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,-,23.500.000.000,,23500000000.0
,,,-,95.434.000.000,,95434000000.0
,,,=,,,
Phải thu về cho vay dài hạn (Thuyết minh 7(b)),Phải thu về cho vay dài hạn (Thuyết minh 7(b)),Phải thu về cho vay dài hạn (Thuyết minh 7(b)),Phải thu về cho vay dài hạn (Thuyết minh 7(b)),Phải thu về cho vay dài hạn (Thuyết minh 7(b)),,
Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,Phải thu về cho vay dài hạn (Thuyết minh 7(b)) > Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,1.291.000.000,1.291.000.000,1291000000.0,1291000000.0
Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,,,,
Thượng Lộ,Công ty TNHH Một thành viên Thủy điện > Thượng Lộ,Thượng Lộ,-,22.363.000.000,,22363000000.0
,,,1.291.000.000,23.654.000.000,1291000000.0,23654000000.0
Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),Phải thu ngắn hạn khác (Thuyết minh 8(a)),,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,Công ty TNHH Một thành viên Thủy điện,,,,
Thượng Lộ,Công ty TNHH Một thành viên Thủy điện > Thượng Lộ,Thượng Lộ,8.204.888.022,9.260.100.431,8204888022.0,9260100431.0
Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,Công ty TNHH Một thành viên Thủy điện > Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơđiện Gia Lai,2.428.697.399,434.225.223,2428697399.0,434225223.0
Công ty Cổ phần Thủy điện Gia Lai,Công ty TNHH Một thành viên Thủy điện > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,1.693.021.186,27.427.521.211,1693021186.0,27427521211.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty TNHH Một thành viên Thủy điện > Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,77.207.685,1.845.000,77207685.0,1845000.0
Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Thủy điện > Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư Vấn và Phát triển Năng lượng Gia Lai,53.561.199,317.681.127,53561199.0,317681127.0
Công ty Cổ phần Điện TTC Đức Huệ-Long An,Công ty TNHH Một thành viên Thủy điện > Công ty Cổ phần Điện TTC Đức Huệ-Long An,Công ty Cổ phần Điện TTC Đức Huệ-Long An,6.400.000,-,6400000.0,
Cổ đông,Cổ đông,Cổ đông,Cổ đông,Cổ đông,,
Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,74.987.498,80.104.604,74987498.0,80104604.0
