row_label_raw,row_label_full,Bên liên quan (Thuyết minh 30(b)),Tại ngày1.1.2018VND > Bên liên quan (Thuyết minh 30(b)),Chỉ cho vay/Phân loại lạiVND > Bên liên quan (Thuyết minh 30(b)),Thu hồi nợ vay/Xóa sốVND > Bên liên quan (Thuyết minh 30(b)),Tại ngày31.12.2018VND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngày1.1.2018VND > Bên liên quan (Thuyết minh 30(b)),numeric__Chỉ cho vay/Phân loại lạiVND > Bên liên quan (Thuyết minh 30(b)),numeric__Thu hồi nợ vay/Xóa sốVND > Bên liên quan (Thuyết minh 30(b)),numeric__Tại ngày31.12.2018VND > Bên liên quan (Thuyết minh 30(b))
Công ty Cổ phần Sản xuấtThượng mại Tâm Bình An,Công ty Cổ phần Sản xuấtThượng mại Tâm Bình An,Công ty Cổ phần Sản xuấtThượng mại Tâm Bình An,38.000.000.000,20.000.000.000,(58.000.000.000),-,38000000000.0,20000000000.0,-58000000000.0,
Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,Công ty Cổ phần Lộc Thổ,32.000.000.000,-,(32.000.000.000),-,32000000000.0,,-32000000000.0,
Công ty Cổ phần Giao dịchHàng hóa Sơn Tín,Công ty Cổ phần Giao dịchHàng hóa Sơn Tín,Công ty Cổ phần Giao dịchHàng hóa Sơn Tín,23.500.000.000,-,(23.500.000.000),-,23500000000.0,,-23500000000.0,
Công ty Cổ phần Thủyđiện Thương Lộ,Công ty Cổ phần Thủyđiện Thương Lộ,Công ty Cổ phần Thủyđiện Thương Lộ,1.934.000.000,4.400.000.000,(6.334.000.000),-,1934000000.0,4400000000.0,-6334000000.0,
,,,95.434.000.000,24.400.000.000,(119.834.000.000),-,95434000000.0,24400000000.0,-119834000000.0,
Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,Bên thứ ba,,,,
Công ty Cổ phần Xây lắpvà Dịch vụ Cơ điện,Bên thứ ba > Công ty Cổ phần Xây lắpvà Dịch vụ Cơ điện,Công ty Cổ phần Xây lắpvà Dịch vụ Cơ điện,343.858.552,-,(343.858.552),-,343858552.0,,-343858552.0,
,,,95.777.858.552,24.400.000.000,(120.177.858.552),-,95777858552.0,24400000000.0,-120177858552.0,
Cho vay dài hạn đáo hạntrong vòng một năm,Bên thứ ba > Cho vay dài hạn đáo hạntrong vòng một năm,Cho vay dài hạn đáo hạntrong vòng một năm,6.950.000.000,-,(5.659.000.000),1.291.000.000,6950000000.0,,-5659000000.0,1291000000.0
,,,102.727.858.552,24.400.000.000,(125.836.858.552),1.291.000.000,102727858552.0,24400000000.0,-125836858552.0,1291000000.0
