row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chi phí trả trước tiền thuê đất,Chi phí trả trước tiền thuê đất,Chi phí trả trước tiền thuê đất,5.388.440.016,-,5388440016.0,
"Chi phí kiểm định, cải tạo nhà máy thủy điện","Chi phí kiểm định, cải tạo nhà máy thủy điện","Chi phí kiểm định, cải tạo nhà máy thủy điện",4.472.127.988,888.063.128,4472127988.0,888063128.0
Lợi thế kinh doanh phát sinh từ việc cổ phần hóa (*),Lợi thế kinh doanh phát sinh từ việc cổ phần hóa (*),Lợi thế kinh doanh phát sinh từ việc cổ phần hóa (*),3.554.964.436,5.687.943.100,3554964436.0,5687943100.0
"Chi phí thi công, giám sát khoan phụt chống thấm nhà máy thủy điện","Chi phí thi công, giám sát khoan phụt chống thấm nhà máy thủy điện","Chi phí thi công, giám sát khoan phụt chống thấm nhà máy thủy điện",2.081.029.827,-,2081029827.0,
Chi phí lắp đặt công tơ điện tử,Chi phí lắp đặt công tơ điện tử,Chi phí lắp đặt công tơ điện tử,1.290.337.389,2.838.742.257,1290337389.0,2838742257.0
Công cụ dụng cụ và thiết bị văn phòng,Công cụ dụng cụ và thiết bị văn phòng,Công cụ dụng cụ và thiết bị văn phòng,1.092.934.697,556.887.041,1092934697.0,556887041.0
Thi công xây dựng tắm đan giảng gia cổ kênh dẫn nước nhà máy Đakhai,Thi công xây dựng tắm đan giảng gia cổ kênh dẫn nước nhà máy Đakhai,Thi công xây dựng tắm đan giảng gia cổ kênh dẫn nước nhà máy Đakhai,833.200.475,-,833200475.0,
"Chi phí trồng rừng, đền bù của các dự án","Chi phí trồng rừng, đền bù của các dự án","Chi phí trồng rừng, đền bù của các dự án",-,533.680.992,,533680992.0
Khác,Khác,Khác,182.069.096,1.711.928.290,182069096.0,1711928290.0
,,,18.895.103.924,12.217.244.808,18895103924.0,12217244808.0
