row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
100,100,100,TÀI SẢN NGĂN HẠN,,966.416.078.355,294.766.082.853,,,966416078355.0,294766082853.0
110,110,110,Tiền và các khoản tương đương tiền,3,572.264.189.785,79.904.952.746,,3.0,572264189785.0,79904952746.0
111,111,111,Tiền,,15.247.093.885,40.604.952.746,,,15247093885.0,40604952746.0
112,112,112,Các khoản tương đương tiền,,557.017.095.900,39.300.000.000,,,557017095900.0,39300000000.0
120,120,120,Đầu tư tài chính ngắn hạn,,252.000.000.000,6.672.250.000,,,252000000000.0,6672250000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,4(a),252.000.000.000,6.672.250.000,,,252000000000.0,6672250000.0
130,130,130,Các khoản phải thu ngắn hạn,,100.872.524.438,198.692.137.509,,,100872524438.0,198692137509.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,72.023.088.780,51.894.102.350,,5.0,72023088780.0,51894102350.0
132,132,132,Trả trước cho người bán ngắn hạn,6,3.964.652.165,3.486.206.480,,6.0,3964652165.0,3486206480.0
135,135,135,Phải thu về cho vay ngắn hạn,7(a),1.291.000.000,102.727.858.552,,,1291000000.0,102727858552.0
136,136,136,Phải thu ngắn hạn khác,8(a),23.590.996.316,41.284.448.586,,,23590996316.0,41284448586.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,,-,(700.478.459),,,,-700478459.0
139,139,139,Tài sản thiếu chờ xử lý,,2.787.177,-,,,2787177.0,
140,140,140,Hàng tồn kho,9,7.897.779.840,8.965.441.721,,9.0,7897779840.0,8965441721.0
141,141,141,Hàng tồn kho,,7.897.779.840,8.965.441.721,,,7897779840.0,8965441721.0
150,150,150,Tài sản ngắn hạn khác,,33.381.584.292,531.300.877,,,33381584292.0,531300877.0
151,151,151,Chi phí trả trước ngắn hạn,10(a),3.171.334.425,462.353.626,,,3171334425.0,462353626.0
152,152,152,Thuế GTGT được khấu trừ,,30.210.249.867,9.637.251,,,30210249867.0,9637251.0
153,153,153,Thuế và các khoản khác phải thu Nhà nước,,-,59.310.000,,,,59310000.0
200,200,200,TÀI SẢN DÀI HẠN,,2.942.966.568.403,1.072.331.632.693,,,2942966568403.0,1072331632693.0
210,210,210,Các khoản phải thu dài hạn,,780.499.803,27.662.017.532,,,780499803.0,27662017532.0
215,215,215,Phải thu về cho vay dài hạn,7(b),-,16.704.000.000,,,,16704000000.0
216,216,216,Phải thu dài hạn khác,8(b),1.271.341.882,10.958.017.532,,,1271341882.0,10958017532.0
219,219,219,Dự phòng phải thu dài hạn khó đòi,,(490.842.079),-,,,-490842079.0,
220,220,220,Tài sản cố định,,2.543.636.227.324,756.410.595.606,,,2543636227324.0,756410595606.0
221,221,221,Tài sản cố định hữu hình,11(a),2.539.816.319.252,752.398.295.819,,,2539816319252.0,752398295819.0
222,222,222,Nguyên giá,,2.912.839.214.826,1.060.682.194.778,,,2912839214826.0,1060682194778.0
223,223,223,Giá trị khấu hao lũy kế,,(373.022.895.574),(308.283.898.959),,,-373022895574.0,-308283898959.0
227,227,227,Tài sản cố định vô hình,11(b),3.819.908.072,4.012.299.787,,,3819908072.0,4012299787.0
228,228,228,Nguyên giá,,4.571.417.184,4.746.417.184,,,4571417184.0,4746417184.0
229,229,229,Giá trị khấu hao lũy kế,,(751.509.112),(734.117.397),,,-751509112.0,-734117397.0
240,240,240,Tài sản dở dang dài hạn,,15.186.876.903,18.577.242.888,,,15186876903.0,18577242888.0
242,242,242,Chi phí xây dựng cơ bản dở dang,12,15.186.876.903,18.577.242.888,,12.0,15186876903.0,18577242888.0
250,250,250,Đầu tư tài chính dài hạn,4(b),364.467.860.449,256.865.646.909,,,364467860449.0,256865646909.0
251,251,251,Đầu tư vào công ty con,,366.935.646.909,256.865.646.909,,,366935646909.0,256865646909.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,,(2.467.786.460),-,,,-2467786460.0,
260,260,260,Tài sản dài hạn khác,,18.895.103.924,12.816.129.758,,,18895103924.0,12816129758.0
261,261,261,Chi phí trả trước dài hạn,10(b),18.895.103.924,12.217.244.808,,,18895103924.0,12217244808.0
262,262,262,Tài sản thuế thu nhập hoãn lại,,-,598.884.950,,,,598884950.0
270,270,270,TỔNG TÀI SẢN,,3.909.382.646.758,1.367.097.715.546,,,3909382646758.0,1367097715546.0
