row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,3.868.178.000,661.500.000,216.739.184,4.746.417.184,3868178000.0,661500000.0,216739184.0,4746417184.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(175.000.000),-,(175.000.000),,-175000000.0,,-175000000.0
Tại ngày 31 tháng 12 năm 2018,Nguyên giá > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,3.868.178.000,486.500.000,216.739.184,4.571.417.184,3868178000.0,486500000.0,216739184.0,4571417184.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,209.688.297,418.644.225,105.784.875,734.117.397,209688297.0,418644225.0,105784875.0,734117397.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,77.428.356,84.466.691,30.496.668,192.391.715,77428356.0,84466691.0,30496668.0,192391715.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,-,(175.000.000),-,(175.000.000),,-175000000.0,,-175000000.0
Tại ngày 31 tháng 12 năm 2018,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,287.116.653,328.110.916,136.281.543,751.509.112,287116653.0,328110916.0,136281543.0,751509112.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,3.658.489.703,242.855.775,110.954.309,4.012.299.787,3658489703.0,242855775.0,110954309.0,4012299787.0
Tại ngày 31 tháng 12 năm 2018,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,3.581.061.347,158.389.084,80.457.641,3.819.908.072,3581061347.0,158389084.0,80457641.0,3819908072.0
