row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Góp vốn,30.000.000.000,-,,,30000000000.0,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Thu hồi khoản cho vay,28.697.000.000,5.000.000.000,,,28697000000.0,5000000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Cho vay,4.400.000.000,1.934.000.000,,,4400000000.0,1934000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Lãi cho vay,1.955.573.593,2.405.606.301,,,1955573593.0,2405606301.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,1.168.305.329,1.408.771.972,,,1168305329.0,1408771972.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Chi phí chi hộ,247.689.987,864.490.985,,,247689987.0,864490985.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty con,Lợi nhuận được chia,-,7.000.000.000,,,,7000000000.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,"Mua hàng hóa, dịch vụ",1.176.488.506,2.560.677.454,,,1176488506.0,2560677454.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,985.765.838,120.000.000,,,985765838.0,120000000.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Chi phí chi hộ,53.561.199,196.662.612,,,53561199.0,196662612.0
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty con,Lợi nhuận được chia,-,305.736.102,,,,305736102.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,855.454.726,833.305.065,,,855454726.0,833305065.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty con,Cổ tức được chia,470.400.000,588.000.000,,,470400000.0,588000000.0
Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty Cổ phần Thủy điện Kênh Bắc - Ayun Hạ,Công ty con,Chi phí chi hộ,169.575.603,31.396.774,,,169575603.0,31396774.0
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty con,Góp vốn,80.070.000.000,-,,,80070000000.0,
Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty Cổ phần Điện TTC Đức Huệ - Long An,Công ty con,Chi phí chi hộ,15.190.182,-,,,15190182.0,
