row_label_raw,row_label_full,Giấy chứng nhận đăng ký doanh nghiệp > Hội đồng Quản trị,Số 5900181213 do Sở Kế hoạch và Đầu tư Tĩnh Gia Lai cấp lần đầu ngày 9 tháng 9 năm 2010 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15 cấp ngày 16 tháng 10 năm 2018. > Ông Tân Xuân Hiến > Ông Thái Văn Chuyện,"Số 5900181213 do Sở Kế hoạch và Đầu tư Tĩnh Gia Lai cấp lần đầu ngày 9 tháng 9 năm 2010 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15 cấp ngày 16 tháng 10 năm 2018. > Chủ tịch(từ ngày 26 tháng 3 năm 2018,trước đây là Phó Chủ tịch) > Chủ tịch(đến ngày 26 tháng 3 năm 2018)",numeric__Số 5900181213 do Sở Kế hoạch và Đầu tư Tĩnh Gia Lai cấp lần đầu ngày 9 tháng 9 năm 2010 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15 cấp ngày 16 tháng 10 năm 2018. > Ông Tân Xuân Hiến > Ông Thái Văn Chuyện,"numeric__Số 5900181213 do Sở Kế hoạch và Đầu tư Tĩnh Gia Lai cấp lần đầu ngày 9 tháng 9 năm 2010 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 15 cấp ngày 16 tháng 10 năm 2018. > Chủ tịch(từ ngày 26 tháng 3 năm 2018,trước đây là Phó Chủ tịch) > Chủ tịch(đến ngày 26 tháng 3 năm 2018)"
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Deepak Chank Khanna,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Andrew Mark Affleck,Thành viên(từ ngày 18 tháng 9 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Yasushi Ujioka,Thành viên(đến ngày 18 tháng 9 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Nguyễn Thùy Vân,Thành viên(từ ngày 18 tháng 9 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Đào Thị Thiên Thanh,Thành viên(đến ngày 18 tháng 9 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Phạm Ngọc Thanh Mai,Thành viên(từ ngày 18 tháng 9 năm 2018),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Đỗ Thu Ngân,Thành viên độc lập(từ ngày 18 tháng 9 năm 2018),,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Bà Nguyễn Thùy Vân,Chủ tịch(từ ngày 18 tháng 9 năm 2018),,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ông Deepak Chank Khanna,Thành viên(từ ngày 18 tháng 9 năm 2018),,
Ủy ban Kiểm toán,Ủy ban Kiểm toán,Ủy ban Kiểm toán,Bà Phạm Ngọc Thanh Mai,Thành viên(từ ngày 18 tháng 9 năm 2018trước đây là Trường Ban kiểm soát),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Bà Phạm Ngọc Thanh Mai,Trường ban(từ ngày 22 tháng 3 năm 2018đến ngày 17 tháng 9 năm 2018),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Bà Hoàng Thị Mai Thủy,Trường ban(đến ngày 20 tháng 3 năm 2018),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ông Trịnh Xuân Hà,Thành viên(từ ngày 20 tháng 3 năm 2018đến ngày 17 tháng 9 năm 2018),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ông Hàn Phi Hải,Thành viên(đến ngày 19 tháng 3 năm 2018),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Ông Mai Văn Nhớ,Thành viên(từ ngày 20 tháng 3 năm 2018đến ngày 17 tháng 9 năm 2018),,
Ban kiểm soát,Ban kiểm soát,Ban kiểm soát,Bà Trần Thị Nga,Thành viên(đến ngày 19 tháng 3 năm 2018),,
