row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty con,Chi phí chi hộ,14.058.000,-,,,14058000.0,
Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty Cổ phần Điện TTC Tây Sơn - Bình Định,Công ty con,Chi phí chi hộ,,=,,,,
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Công ty Cổ phần Điện TTC Tây Sơn - Bình Định > Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Cổ đông,"Mua hàng hóa, dịch vụ",12.040.000,-,,,12040000.0,
Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Công ty Cổ phần Xuất Nhập Khẩu Bến Tre (trước đây là Công ty Cổ phần Global Mind Vietnam),Cổ đông,"Mua hàng hóa, dịch vụ",,=,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,"Mua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộMua tài sản cố định",33.698.026.78172.681.81949.999.998-,3.943.356.06466.145.501-959.770.939,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,"Mua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộMua tài sản cố định",,,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,"Mua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộMua tài sản cố định",,,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,"Mua hàng hóa, dịch vụDoanh thu bán hàng và cung cấp dịch vụChi phí chi hộMua tài sản cố định",,,,,,
Tổng Công ty Điện lực Miền Trung,Công ty Cổ phần Đầu tư Thành Thành Công > Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan khác,Doanh thu bán điệnKhác,192.168.731.1651.915.611.499,200.162.340.268-,,,1.9216873116519157e+21,
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Bên liên quan khác,Doanh thu bán điệnKhác,,,,,,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Tổng Công ty Điện lực Miền Trung > Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác,Thu hồi khoản cho vayLãi cho vayCho vayDoanh thu bán hàng và dịch vụ,23.500.000.000607.977.550-Doanh thu bán hàng và dịch vụ,74.000.000.0003.042.213.88823.500.000.0003.561.023.867,,,,7.400000000030422e+41
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác,Thu hồi khoản cho vayLãi cho vayCho vayDoanh thu bán hàng và dịch vụ,,,,,,
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Bên liên quan khác,Thu hồi khoản cho vayLãi cho vayCho vayDoanh thu bán hàng và dịch vụ,,,,,,
