row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển từ xây dựng cơ bản đồ dang (Thuyết minh 12),Năm nay VND > 12.679.598.434 > 20.849.027.044 > 376.558.176,Năm trước VND > 14.338.499.055 > 10.751.523.765 > -,numeric__Năm nay VND > 12.679.598.434 > 20.849.027.044 > 376.558.176,numeric__Năm trước VND > 14.338.499.055 > 10.751.523.765 > -
Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,1.058.369.908,-,1058369908.0,
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(12.897.115.213),(12.410.424.386),-12897115213.0,-12410424386.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,22.066.438.349,12.679.598.434,22066438349.0,12679598434.0
